No.,Article Number,Article Title,Keyword,Client,Campaign Name,Editor,Copywriter,Article Type,Number of Words,Keyword Match in Content,Submit Date,Cost
29,V-14-7899-219712,4 Signs He’ll Really Leave His Wife for You,# Signs He'll Really Leave His Wife for You,VSE,PsychicSource,ADodgeEditor      5,carastromness[1]      6      3,SHAREBAIT,500,0,2014-06-10 16:51:30,30
30,V-14-7899-219711,4 Techniques for Improving Your Emotional Health,"# Techniques for Improving Your Emotional Health",VSE,PsychicSource,ADodgeEditor      5,carastromness[1]      6      3,SHAREBAIT,500,0,2014-06-10 16:54:16,30
31,V-14-7899-219710,4 Ways to Stop Living Beyond Your Means and Save Money,"# Ways to Stop Living Beyond Your Means and Save Money",VSE,PsychicSource,ADodgeEditor      5,carastromness[1]      6      3,SHAREBAIT,500,0,2014-06-25 14:51:17,30
32,V-14-7899-219709,4 Surefire Ways to Decrease Your Stress Levels,"# Surefire Ways to Decrease Your Stress Levels",VSE,PsychicSource,HarveyGEditor      27,carastromness[1]      6      3,SHAREBAIT,500,0,2014-05-13 05:53:17,30
33,V-14-7899-219707,4 Signs You’re Ready to Make the Switch to Self-Employment,"# Signs You're Ready to Make the Switch to Self-Employment",VSE,PsychicSource,HarveyGEditor      27,carastromness[1]      6      3,SHAREBAIT,500,0,2014-05-12 12:44:02,30
34,V-14-7899-219706,Love Potion Number 9: Making Him Fall in Love with You,"Love Potion Number 9: Making Him Fall in Love with You",VSE,PsychicSource,HarveyGEditor      27,carastromness[1]      6      3,SHAREBAIT,500,0,2014-05-12 16:31:01,30
35,V-14-7899-219705,The Midas Touch: Is There Money in Your Future?,"The Midas Touch: Is There Money in Your Future?",VSE,PsychicSource,HarveyGEditor      27,carastromness[1]      6      3,SHAREBAIT,500,0,2014-05-12 12:27:43,30
36,V-14-7899-219704,How to Stop Feeling Like a Failure,"How to Stop Feeling Like a Failure",VSE,PsychicSource,HarveyGEditor      27,carastromness[1]      6      3,SHAREBAIT,500,0,2014-05-12 11:34:36,30
37,V-14-7899-219703,Family Future: Will You Have Children?,"Family Future: Will You Have Children?",VSE,PsychicSource,HarveyGEditor      27,carastromness[1]      6      3,SHAREBAIT,500,0,2014-05-12 06:53:01,30
38,V-14-7899-219702,5 Revealing Questions to Ask Deceased Loved Ones,"# Revealing Questions to Ask Deceased Loved Ones",VSE,PsychicSource,HarveyGEditor      27,carastromness[1]      6      3,SHAREBAIT,500,0,2014-05-12 04:53:34,30
39,V-14-7899-219700,5 Things Your Pet Communicator Can Tell You After a Loss,"# Things Your Pet Communicator Can Tell You After a Loss",VSE,PsychicSource,HarveyGEditor      27,carastromness[1]      6      3,SHAREBAIT,500,0,2014-05-11 11:13:13,30
40,V-14-7899-219699,Is a Big Decision Worth the Risk? 4 Ways to Tell,"Is a Big Decision Worth the Risk? # Ways to Tell",VSE,PsychicSource,HarveyGEditor      27,carastromness[1]      6      3,SHAREBAIT,500,0,2014-05-10 19:16:02,30
41,V-14-7899-219698,"I Do, I Don’t: When Should You Pop the Question?","I Do, I Don't: When Should You Pop the Question?",VSE,PsychicSource,HarveyGEditor      27,carastromness[1]      6      3,SHAREBAIT,500,0,2014-05-10 11:43:47,30
42,V-14-7899-219697,5 Ways Psychics Can Help You with Weight Loss,"# Ways Psychics Can Help You with Weight Loss",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-05-08 19:40:40,30
43,V-14-7899-219696,Insomnia: 4 Underlying Reasons You Can’t Get to REM,"Insomnia: # Underlying Reasons You Can’t Get to REM",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-05-09 12:07:16,30
44,V-14-7899-219695,How to Feel Happy When Life Is Sad,"How to Feel Happy When Life Is Sad",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-05-08 15:47:00,30
45,V-14-7899-219694,Sibling Rivalries: How to Break an Unhealthy Cycle,"Sibling Rivalries: How to Break an Unhealthy Cycle",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-05-09 15:17:49,30
46,V-14-7899-219693,Clair What? A Look at Psychic Powers,"Clair What? A Look at Psychic Powers",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-05-09 12:01:50,30
47,V-14-7899-219692,Breaking the Sleepy Cycle: 4 Lifestyle Changes to Boost Your Energy,"Breaking the Sleepy Cycle: # Lifestyle Changes to Boost Your Energy",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-05-08 23:33:01,30
48,V-14-7899-219691,Perfectionism: How to Let Go and Stop Stressing,"Perfectionism: How to Let Go and Stop Stressing",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-05-09 00:15:02,30
49,V-14-7899-219690,How to Find Happiness After a Life Changing Injury,"How to Find Happiness After a Life Changing Injury",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-05-09 01:18:15,30
50,V-14-7899-219689,"Don’t End the Marriage, End the Rut","Don’t End the Marriage, End the Rut",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-05-09 11:40:58,30
51,V-14-7899-219688,How to Deal with the Emotional Challenges of Parenting a Child with Disabilities,"How to Deal with the Emotional Challenges of Parenting a Child with Disabilities",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-05-09 11:20:53,30
52,V-14-7899-219687,Moving Away From Your Family: 5 Emotions You Didn’t Expect,"Moving Away From Your Family: # Emotions You Didn’t Expect",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-05-09 10:57:46,30
53,V-14-7899-219686,5 Realistic Goals You Should Set for the Future,"# Realistic Goals You Should Set for the Future",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-05-09 10:31:00,30
54,V-14-7899-219685,Guilt: 4 Reasons You Shouldn’t Blame Yourself,"Guilt: # Reasons You Shouldn’t Blame Yourself",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-05-09 10:11:03,30
55,V-14-7899-219684,5 Ways to Prepare for the Unexpected Life Turns,"# Ways to Prepare for the Unexpected Life Turns",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-05-09 09:50:30,30
56,V-14-7899-219683,Deciphering Love: 5 Times Marriage Is the Wrong Choice,"Deciphering Love: # Times Marriage Is the Wrong Choice",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-05-09 09:26:02,30
57,V-14-7700-219679,4 Essential Questions for Every Relationship,# Essential Questions for Every Relationship,VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-05-08 14:19:27,30
58,V-14-7700-219678,6 Smart Things Happy Couples Do,"# Smart Things Happy Couples Do",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-05-08 15:36:16,30
59,V-14-7700-219677,"6 Signs You're Going Too Fast in Life, and What to Do About It","# Signs You're Going Too Fast in Life, and What to Do About It",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-05-08 16:02:33,30
60,V-14-7700-219676,5 Habits that Will Help You Find Happines in Unusual Places,"# Habits that Will Help You Find Happines in Unusual Places",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-05-08 16:25:58,30
61,V-14-7700-219675,What a Psychic Can and Can't Tell You About Love,"What a Psychic Can and Can't Tell You About Love",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-05-08 17:18:36,30
62,V-14-7700-219674,5 Ways to Feed the Flame: Maintaining Excitement in Your Relationship,"# Ways to Feed the Flame: Maintaining Excitement in Your Relationship",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-05-08 17:47:23,30
63,V-14-7700-219673,Why Cheating Husbands Rarely Leave Their Wives,"Why Cheating Husbands Rarely Leave Their Wives",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-05-08 14:56:42,30
64,V-14-7700-219672,How to Embrace the Solo Life,"How to Embrace the Solo Life",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-05-08 18:11:19,30
65,V-14-7700-219671,5 Sneaky Things That Are Keeping You From True Happiness,"# Sneaky Things That Are Keeping You From True Happiness",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-05-09 05:19:08,30
66,V-14-7700-219670,5 Habits That Are Preventing You From Finding Love,"# Habits That Are Preventing You From Finding Love",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-05-09 05:45:15,30
67,V-14-7700-219669,The Best Letter You'll Ever Write: How to Pen a Note to Yourself,"The Best Letter You'll Ever Write: How to Pen a Note to Yourself",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-05-09 06:52:18,30
68,V-14-7700-219668,6 Surprising Signs that You've Found &quot;The One&quot;,"# Surprising Signs that You've Found &quot;The One&quot;",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-05-09 07:24:58,30
69,V-14-7700-219667,6 Simple Steps that Will Move You Closer to Inner Peace,"# Simple Steps that Will Move You Closer to Inner Peace",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-05-09 07:56:47,30
70,V-14-7700-219666,"5 Signs It's Lust, Not Love","# Signs It's Lust, Not Love",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-05-09 08:27:20,30
71,V-14-7700-219665,How to Trust the Universe instead of Planning,"How to Trust the Universe instead of Planning",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-05-09 08:55:16,30
72,V-14-7899-214273,Using the Tarot to Land a Promotion,Using the Tarot to Land a Promotion,VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-04-10 09:38:48,30
73,V-14-7899-214272,How a Psychic Phone Call Can Save Your Sanity,"How a Psychic Phone Call Can Save Your Sanity",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-04-10 11:27:40,30
74,V-14-7899-214271,What to Do with a Malicious Mother-in-Law,"What to Do with a Malicious Mother-in-Law",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-04-10 00:18:03,30
75,V-14-7899-214270,Helping a Friend Emerge from an Unsafe Relationship,"Helping a Friend Emerge from an Unsafe Relationship",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-04-10 00:27:29,30
76,V-14-7899-214269,How to Overcome the Struggle with Addiction,"How to Overcome the Struggle with Addiction",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-04-10 09:47:10,30
77,V-14-7899-214268,Finding a Happily-Ever-After When You're Single,"Finding a Happily-Ever-After When You're Single",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-04-10 11:30:55,30
78,V-14-7899-214267,5 Key Tips for Peacefully Blending a Family,"# Key Tips for Peacefully Blending a Family",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-04-10 12:41:42,30
79,V-14-7899-214266,Soothing Ways to Explain the Death of a Pet to Your Child,"Soothing Ways to Explain the Death of a Pet to Your Child",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-04-10 00:08:17,30
80,V-14-7899-214265,How to Avoid the Temptation to Cheat,"How to Avoid the Temptation to Cheat",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-04-10 12:37:49,30
81,V-14-7899-214264,5 Strategies to Turn Failure into Success,"# Strategies to Turn Failure into Success",VSE,PsychicSource,ADodgeEditor      5,lyndsierobinson[1]      3      3,SHAREBAIT,500,0,2014-04-10 14:00:14,30
82,V-14-7899-214263,Discover the Best Time to Start Your Own Business,"Discover the Best Time to Start Your Own Business",VSE,PsychicSource,HarveyGEditor      27,laurenkatulka[1]      11      7,SHAREBAIT,500,0,2014-04-09 19:26:52,30
83,V-14-7899-214262,5 Key Things Your Numerologists Can Reveal about You,"# Key Things Your Numerologists Can Reveal about You",VSE,PsychicSource,,aliciarades[1]      0      0,SHAREBAIT,500,0,2014-04-04 13:59:05,30
84,V-14-7899-214261,3 Ways Your Body Language Might Be Alienating You,"# Ways Your Body Language Might Be Alienating You",VSE,PsychicSource,HarveyGEditor      27,laurenkatulka[1]      11      7,SHAREBAIT,500,0,2014-04-10 01:51:14,30
85,V-14-7899-214260,How to Avoid Suffering Workplace Burnout,"How to Avoid Suffering Workplace Burnout",VSE,PsychicSource,,aliciarades[1]      0      0,SHAREBAIT,500,0,2014-04-04 09:18:12,30
86,V-14-7899-214259,4 Positive Reasons Starting a Journal Can Ease Your Stress,"# Positive Reasons Starting a Journal Can Ease Your Stress",VSE,PsychicSource,HarveyGEditor      27,laurenkatulka[1]      11      7,SHAREBAIT,500,0,2014-04-09 03:37:59,30
87,V-14-7899-214258,Tips for Connecting with the Deceased,"Tips for Connecting with the Deceased",VSE,PsychicSource,HarveyGEditor      27,aliciarades[1]      0      0,SHAREBAIT,500,0,2014-04-07 10:17:23,30
88,V-14-7899-214257,Build Trust with Your Psychic for a Better Reading,"Build Trust with Your Psychic for a Better Reading",VSE,PsychicSource,HarveyGEditor      27,aliciarades[1]      0      0,SHAREBAIT,500,0,2014-04-04 10:24:52,30
89,V-14-7899-214256,When Grieving Doesn't Seem to End,"When Grieving Doesn't Seem to End",VSE,PsychicSource,HarveyGEditor      27,aliciarades[1]      0      0,SHAREBAIT,500,0,2014-04-04 11:46:20,30
90,V-14-7899-214255,Why Do People Dream?,"Why Do People Dream?",VSE,PsychicSource,CarolineCampbell      34,laurenkatulka[1]      11      7,SHAREBAIT,500,0,2014-05-01 18:47:56,30
91,V-14-7899-214254,Numbers in Dreams and What They Mean,"Numbers in Dreams and What They Mean",VSE,PsychicSource,,kristenmccalla[1]      0      0,SHAREBAIT,500,0,2014-04-03 11:17:14,30
92,V-14-7899-214253,What Happens When You Get a Tarot Card Reading?,"What Happens When You Get a Tarot Card Reading?",VSE,PsychicSource,HarveyGEditor      27,carastromness[1]      6      3,SHAREBAIT,500,0,2014-04-11 14:06:19,30
93,V-14-7899-214252,The History of Tarot Cards,"The History of Tarot Cards",VSE,PsychicSource,HarveyGEditor      27,carastromness[1]      6      3,SHAREBAIT,500,0,2014-04-11 12:33:37,30
94,V-14-7899-214251,How Numerology Can Help You in Life,"How Numerology Can Help You in Life",VSE,PsychicSource,CarolineCampbell      34,carastromness[1]      6      3,SHAREBAIT,500,0,2014-04-11 07:10:15,30
95,V-14-7899-214250,Looking to Make a Move? 4 Things to Consider About Your New Location,"Looking to Make a Move? # Things to Consider About Your New Location",VSE,PsychicSource,CarolineCampbell      34,carastromness[1]      6      3,SHAREBAIT,500,0,2014-05-02 07:52:47,30
96,V-14-7899-214249,How to Tell the Difference Between an Authentic Psychic and a Fraud,"How to Tell the Difference Between an Authentic Psychic and a Fraud",VSE,PsychicSource,CarolineCampbell      34,carastromness[1]      6      3,SHAREBAIT,500,0,2014-04-10 10:28:42,30
97,V-14-7899-214248,Understanding the Abilities of a Clairvoyant,"Understanding the Abilties of a Clairvoyant",VSE,PsychicSource,CarolineCampbell      34,carastromness[1]      6      3,SHAREBAIT,500,0,2014-04-10 05:24:40,30
98,V-14-7899-214247,How Can a Psychic Help You Grieve,"How Can a Psychic Help You Grieve",VSE,PsychicSource,CarolineCampbell      34,carastromness[1]      6      3,SHAREBAIT,500,0,2014-04-10 04:38:45,30
99,V-14-7899-214246,Relationship Issues: 4 Times You Should Consult a Love Psychic,"Relationship Issues: # Times You Should Consult a Love Psychic",VSE,PsychicSource,CarolineCampbell      34,carastromness[1]      6      3,SHAREBAIT,500,0,2014-04-10 04:00:44,30
100,V-14-7899-214245,6 Myths About Love and Compatibility,"# Myths About Love and Compatibility",VSE,PsychicSource,CarolineCampbell      34,carastromness[1]      6      3,SHAREBAIT,500,0,2014-04-10 03:36:27,30
101,V-14-7899-214244,4 Misconceptions About Love Psychics,"# Misconceptions About Love Psychics",VSE,PsychicSource,CarolineCampbell      34,carastromness[1]      6      3,SHAREBAIT,500,0,2014-04-09 23:55:46,30
102,V-14-7700-214242,The Dangers of Signing Up for Free Stuff Online,"The Dangers of Signing Up for Free Stuff Online",VSE,Hollywood Psychics,CarolineCampbell      34,,SHAREBAIT,500,0,2014-04-16 16:42:22,30
103,V-14-7700-214241,5 Things You Should Always Have in Your Car,"# Things You Should Always Have in Your Car",VSE,Hollywood Psychics,CarolineCampbell      34,,SHAREBAIT,500,0,2014-04-16 16:41:13,30
104,V-14-7700-214240,How to Tell if You're Doing Your Exercises Right,"How to Tell if You're Doing Your Exercises Right",VSE,Hollywood Psychics,CarolineCampbell      34,,SHAREBAIT,500,0,2014-04-16 16:39:55,30
105,V-14-7700-214239,What Do the New Nutrition Labels Mean?,"What Do the New Nutrition Labels Mean? ",VSE,Hollywood Psychics,CarolineCampbell      34,,SHAREBAIT,500,0,2014-04-08 12:53:54,30
106,V-14-7700-214238,How Much Time Should You Spend on Psychic Readings?,"How Much Time Should You Spend on Psychic Readings? ",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-04-09 09:46:37,30
107,V-14-7700-214237,Why the Sexy Bombshell on the Magazine Isn't Really What Men are Looking for,"Why the Sexy Bombshell on the Magazine Isn't Really What Men are Looking for",VSE,Hollywood Psychics,CarolineCampbell      34,kristenmccalla[1]      0      0,SHAREBAIT,500,0,2014-04-03 15:01:44,30
108,V-14-7700-214236,How to Tell if You're Seeing a Real Psychic,"How to Tell if You're Seeing a Real Psychic",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-04-09 13:35:12,30
109,V-14-7700-214235,The Real Needs of Special Needs Parents: What Should You Do if Your Friend's Baby Isn't &quot;Normal&quot;,"The Real Needs of Special Needs Parents: What Should You Do if Your Friend's Baby Isn't &quot;Normal&quot; ",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-04-10 06:54:07,30
110,V-14-7700-214234,Are Online Psychics as Good as a Psychic Reading in Person?,"Are Online Psychics as Good as a Psychic Reading in Person? ",VSE,Hollywood Psychics,CarolineCampbell      34,mandirogier[1]      17      5,SHAREBAIT,500,0,2014-04-10 07:30:14,30
111,V-14-7700-214233,7 Proven Ways to Get Out of Debt and Reclaim Your Future,"# Proven Ways to Get Out of Debt and Reclaim Your Future",VSE,Hollywood Psychics,CarolineCampbell      34,francescamartin[1]      0      0,SHAREBAIT,500,0,2014-04-09 21:33:54,30
112,V-14-7700-214232,Can Your Psychic Change the Future?,"Can Your Psychic Change the Future? ",VSE,Hollywood Psychics,CarolineCampbell      34,francescamartin[1]      0      0,SHAREBAIT,500,0,2014-04-09 23:51:27,30
113,V-14-7700-214231,6 Scary Dreams That Actually Mean Something Good,"# Scary Dreams That Actually Mean Something Good",VSE,Hollywood Psychics,CarolineCampbell      34,francescamartin[1]      0      0,SHAREBAIT,500,0,2014-04-09 16:06:25,30
114,V-14-7700-214230,9 Ways to Become a Morning Person,"# Ways to Become a Morning Person",VSE,Hollywood Psychics,CarolineCampbell      34,francescamartin[1]      0      0,SHAREBAIT,500,0,2014-04-09 16:18:05,30
115,V-14-7700-214229,7 Things You Need to Know Before Heading to the Salon,"# Things You Need to Know Before You Head to the Salon",VSE,Hollywood Psychics,CarolineCampbell      34,francescamartin[1]      0      0,SHAREBAIT,500,0,2014-04-09 16:09:57,30
116,V-14-7700-214173,How to Choose Career Psychics,Career Pyschics,VSE,Hollywood Psychics,CBerghoefer      36,mattthompson[1]      11      3,SHAREBAIT,500,0,2014-03-31 16:16:15,30
