No.,Article Number,Article Title,Keyword,Client,Campaign Name,Editor,Copywriter,Article Type,Number of Words,Keyword Match in Content,Submit Date,Cost
12,H-14-9788-228845,Enjoy the Bright Lights of Ballard,"Ballard--Seattle--WA--US--Near Neighborhood",Hipmunk,Seattle--WA--US--Near Neighborhood,KZeedickEditor      5,vickieferguson[1]      0      0,SHAREBAIT,300,0,2014-08-10 11:07:47,18
13,H-14-9788-228844,The Best of Beacon Hill,"Beacon Hill--Seattle--WA--US--Near Neighborhood",Hipmunk,Seattle--WA--US--Near Neighborhood,KZeedickEditor      5,vickieferguson[1]      0      0,SHAREBAIT,300,0,2014-08-10 12:41:56,18
14,H-14-9788-228843,Affordable Hotels in Scenic Seattle,"Capitol Hill--Seattle--WA--US--Near Neighborhood",Hipmunk,Seattle--WA--US--Near Neighborhood,KZeedickEditor      5,vickieferguson[1]      0      0,SHAREBAIT,300,0,2014-08-10 12:18:26,18
15,H-124-9827-228771,The Luxe Manor Provides Luxury Lodging,The Luxe Manor-id=256895,Hipmunk,Kowloon--None--HK--Top Hotel Properties,DorotaEditor      4,kathyeckel[5]      0      0,Hipmunk Hotel Properties,295,0,2014-08-05 09:01:03,11.8
16,H-124-9827-228770,Stay in Luxury at the Hotel Panorama by Rhombus,"Hotel Panorama By Rhombus-id=232173",Hipmunk,Kowloon--None--HK--Top Hotel Properties,DorotaEditor      4,kathyeckel[5]      0      0,Hipmunk Hotel Properties,307,0,2014-08-05 09:18:56,12.28
17,H-124-9827-228769,Luxury at the Royal Pacific Hotel &amp; Towers,"The Royal Pacific Hotel &amp; Towers-id=121381",Hipmunk,Kowloon--None--HK--Top Hotel Properties,DorotaEditor      4,kathyeckel[5]      0      0,Hipmunk Hotel Properties,306,0,2014-08-05 09:48:47,12.24
18,H-124-9827-228768,Enjoy a Stay at B P International,"B P International-id=232579",Hipmunk,Kowloon--None--HK--Top Hotel Properties,DorotaEditor      4,kathyeckel[5]      0      0,Hipmunk Hotel Properties,290,0,2014-08-05 10:15:44,11.6
19,H-124-9827-228767,Stay at the Stylish Mira Hong Kong Hotel,"The Mira Hong Kong Hotel-id=128121",Hipmunk,Kowloon--None--HK--Top Hotel Properties,DorotaEditor      4,kathyeckel[5]      0      0,Hipmunk Hotel Properties,297,0,2014-08-05 10:57:32,11.88
20,H-124-9827-228766,"Luxury Hong Kong Hotel Overlooking the Harbor, Not Your Budget","Hotel Nikko Hong Kong-id=129643",Hipmunk,Kowloon--None--HK--Top Hotel Properties,KKaradzaEditor      2,spencerbaselice[1]      0      0,Hipmunk Hotel Properties,307,0,2014-08-09 19:39:26,12.28
21,H-124-9827-228765,Budget Victoria Harbor Hotel with Excellent Amenities,"Sheraton Hong Kong Hotel &amp; Towers-id=105833",Hipmunk,Kowloon--None--HK--Top Hotel Properties,KKaradzaEditor      2,spencerbaselice[1]      0      0,Hipmunk Hotel Properties,385,0,2014-08-09 19:05:38,15.4
22,H-124-9827-228764,Affordable Luxury Mongkok Spa Hotel Connected to Excellent Shopping,"Langham Place-id=220819",Hipmunk,Kowloon--None--HK--Top Hotel Properties,KKaradzaEditor      2,spencerbaselice[1]      0      0,Hipmunk Hotel Properties,389,0,2014-08-08 19:07:47,15.56
23,H-124-9827-228763,Affordable Harbor Location in Kowloon with the Right Luxuries for Business Travelers,"Kowloon Hotel-id=136141",Hipmunk,Kowloon--None--HK--Top Hotel Properties,KKaradzaEditor      2,spencerbaselice[1]      0      0,Hipmunk Hotel Properties,397,0,2014-08-05 17:24:33,15.88
24,H-124-9827-228762,Affordable Chic Hotel Near Kowloon Shopping and Harbour City,"Hotel ICON-id=372210",Hipmunk,Kowloon--None--HK--Top Hotel Properties,KKaradzaEditor      2,spencerbaselice[1]      0      0,Hipmunk Hotel Properties,387,0,2014-08-07 18:18:45,15.48
25,H-14-9811-228679,Book a Bed and Breakfast Hotel in Venice,Bed &amp; Breakfast Hotels--Venice--Veneto--IT--Best Of,Hipmunk,Venice--Veneto--IT--Best Of,DMumpowerEdit      9,carriedahle[1]      2      0,SHAREBAIT,750,0,2014-08-03 11:22:10,45
26,H-14-9811-228678,"Enjoy an Unforgettable Getaway at a Romantic Hotel in Venice, IT","Romantic Hotels--Venice--Veneto--IT--Best Of",Hipmunk,Venice--Veneto--IT--Best Of,KZeedickEditor      5,sabahkarimi[1]      5      5,SHAREBAIT,750,0,2014-08-07 20:08:41,45
27,H-14-9811-228677,Take in the best historic Venice hotels around!,"Historic Hotels--Venice--Veneto--IT--Best Of",Hipmunk,Venice--Veneto--IT--Best Of,MSchaeferEdit      1,chrisbacke[1]      0      0,SHAREBAIT,750,0,2014-08-04 06:14:10,45
28,H-14-9813-228675,Everything You Need to Know About Flying to Venice,Venice--Veneto--IT--Flight Destination,Hipmunk,Venice--Veneto--IT--Flight Destination,MSchaeferEdit      1,cthongkham[1]      5      5,SHAREBAIT,750,0,2014-08-04 11:09:56,45
29,H-14-9815-228667,San Marco: The Heart and Soul of Venice,San Marco--Venice--Veneto--IT--Near Neighborhood,Hipmunk,Venice--Veneto--IT--Near Neighborhood,ShandaSilerEdit      2,dalemyers[1]      0      0,SHAREBAIT,300,0,2014-08-06 00:02:43,18
30,H-14-9815-228666,Murano: Island of Glass,"Murano--Venice--Veneto--IT--Near Neighborhood",Hipmunk,Venice--Veneto--IT--Near Neighborhood,ShandaSilerEdit      2,dalemyers[1]      0      0,SHAREBAIT,300,0,2014-08-08 21:17:50,18
31,H-14-9815-228665,The Less Expensive Lido,"Lido of Venice--Venice--Veneto--IT--Near Neighborhood",Hipmunk,Venice--Veneto--IT--Near Neighborhood,ShandaSilerEdit      2,dalemyers[1]      0      0,SHAREBAIT,300,0,2014-08-07 00:16:06,18
32,H-14-9815-228664,Hidden Jewels of Veneto,"Dorsoduro--Venice--Veneto--IT--Near Neighborhood",Hipmunk,Venice--Veneto--IT--Near Neighborhood,ABeckstettEdit      7,monicawolyniec[1]      0      0,SHAREBAIT,300,0,2014-08-05 00:24:22,18
33,H-14-9815-228663,"Choose a Cheap Hotel in Castello, Venice","Castello--Venice--Veneto--IT--Near Neighborhood",Hipmunk,Venice--Veneto--IT--Near Neighborhood,ABeckstettEdit      7,cthongkham[1]      5      5,SHAREBAIT,300,0,2014-08-07 14:46:36,18
34,H-14-9815-228662,Local Stay on the Royal Canal,"Cannaregio--Venice--Veneto--IT--Near Neighborhood",Hipmunk,Venice--Veneto--IT--Near Neighborhood,ABeckstettEdit      7,monicawolyniec[1]      0      0,SHAREBAIT,300,0,2014-08-05 00:10:50,18
35,H-124-9817-228628,Enjoy a Stay at the Hotel Carlton on the Grand Canal,Hotel Carlton on the Grand Canal-id=122801,Hipmunk,Venice--Veneto--IT--Top Hotel Properties,ShaneHallEdit      5,kathyeckel[5]      0      0,Hipmunk Hotel Properties,257,0,2014-08-11 11:42:29,10.28
36,H-124-9817-228627,Hotel Canal Grande Provides Comforts and Conveniences,"Hotel Canal Grande-id=230313",Hipmunk,Venice--Veneto--IT--Top Hotel Properties,ShaneHallEdit      5,kathyeckel[5]      0      0,Hipmunk Hotel Properties,257,0,2014-08-11 11:15:23,10.28
37,H-124-9817-228626,Hotel Antiche Figure is a Lovely Boutique Hotel,"Hotel Antiche Figure-id=216804",Hipmunk,Venice--Veneto--IT--Top Hotel Properties,ShaneHallEdit      5,kathyeckel[5]      0      0,Hipmunk Hotel Properties,256,0,2014-08-11 10:48:48,10.24
38,H-124-9817-228625,The Historic Best Western Hotel Cavalletto e Doge Orseolo,"Best Western Hotel Cavalletto e Doge Orseolo-id=119261",Hipmunk,Venice--Veneto--IT--Top Hotel Properties,ShaneHallEdit      5,kathyeckel[5]      0      0,Hipmunk Hotel Properties,308,0,2014-08-11 10:26:45,12.32
39,H-124-9817-228624,Una Hotel Venezia is a Charming Venice Boutique Hotel,"Una Hotel Venezia-id=263143",Hipmunk,Venice--Veneto--IT--Top Hotel Properties,ShaneHallEdit      5,kathyeckel[5]      0      0,Hipmunk Hotel Properties,302,0,2014-08-11 09:54:31,12.08
40,H-124-9817-228623,Stay in a Hotel That Was Once Home to a Painter,"Hotel San Cassiano Ca'Favretto-id=144639",Hipmunk,Venice--Veneto--IT--Top Hotel Properties,CRodmanEditor      0,sszczerbiak[1]      2      0,Hipmunk Hotel Properties,299,0,2014-08-03 13:01:10,11.96
41,H-124-9817-228622,Book a Room in the Center of Venice,"Bauer Hotel-id=109344",Hipmunk,Venice--Veneto--IT--Top Hotel Properties,CRodmanEditor      0,sszczerbiak[1]      2      0,Hipmunk Hotel Properties,302,0,2014-08-03 12:24:21,12.08
42,H-124-9817-228621,Stay in a Majestic Canal Hotel,"Hotel Danieli-id=141155",Hipmunk,Venice--Veneto--IT--Top Hotel Properties,CRodmanEditor      0,sszczerbiak[1]      2      0,Hipmunk Hotel Properties,300,0,2014-08-03 11:52:45,12
43,H-124-9817-228620,Stay in the Heart of Venice,"Starhotels Splendid Venice-id=115790",Hipmunk,Venice--Veneto--IT--Top Hotel Properties,CRodmanEditor      0,sszczerbiak[1]      2      0,Hipmunk Hotel Properties,302,0,2014-08-03 11:16:23,12.08
44,H-124-9817-228619,Stay in a Historic Venice Hotel,"Hilton Molino Stucky Venice-id=236576",Hipmunk,Venice--Veneto--IT--Top Hotel Properties,CRodmanEditor      0,sszczerbiak[1]      2      0,Hipmunk Hotel Properties,400,0,2014-08-03 10:41:28,16
45,H-14-9803-228618,Hotels In Berlin’s Historic Mitte Borough,Historic Hotels--Berlin--Berlin--DE--Best Of,Hipmunk,Berlin--Berlin--DE--Best Of,DorotaEditor      4,marlenespector[1]      5      5,SHAREBAIT,750,0,2014-08-03 23:29:47,45
46,H-14-9803-228617,International Business Travel Meets Global History In Berlin,"Business Hotels--Berlin--Berlin--DE--Best Of",Hipmunk,Berlin--Berlin--DE--Best Of,EMacEachernEdit      1,monicawolyniec[1]      0      0,SHAREBAIT,750,0,2014-08-10 11:09:34,45
47,H-14-9803-228616,A Luxury Visit to Berlin At A Charming Price,"Boutique Hotels--Berlin--Berlin--DE--Best Of",Hipmunk,Berlin--Berlin--DE--Best Of,EMacEachernEdit      1,monicawolyniec[1]      0      0,SHAREBAIT,750,0,2014-08-10 10:51:13,45
48,H-14-9804-228615,Historical RAF Gatow Airport in Berlin,R.A.F. Gatow Airport--Berlin--Berlin--DE--Near Airport-id=504f9e8ebb290e74d0000d15,Hipmunk,Berlin--Berlin--DE--Near Airport,DorotaEditor      4,genevievenino[1]      0      0,SHAREBAIT,500,0,2014-08-03 20:33:24,30
49,H-14-9805-228614,Berlin: Capital of Germany,Berlin--Berlin--DE--Flight Destination,Hipmunk,Berlin--Berlin--DE--Flight Destination,JGabrielsonEdit      4,marlenespector[1]      5      5,SHAREBAIT,750,0,2014-08-04 03:57:48,45
50,H-128-9810-228613,Chill Hotels Deals in Europe's Capital of Cool,Berlin--Berlin--DE--Hotel Destination,Hipmunk,Berlin--Berlin--DE--Hotel Destination,CRodmanEditor      0,robertschrader[1]      0      0,.30 Per Word,1250,0,2014-08-06 08:15:39,375
51,H-14-9807-228606,Visiting the Picturesque Potsdam,Potsdam--Berlin--Berlin--DE--Near Neighborhood,Hipmunk,Berlin--Berlin--DE--Near Neighborhood,AlexStrineEdit      9,cczajkowski[1]      3      3,SHAREBAIT,300,0,2014-08-07 11:22:53,18
52,H-14-9807-228605,The Historic City Center of Berlin Mitte,"Mitte--Berlin--Berlin--DE--Near Neighborhood",Hipmunk,Berlin--Berlin--DE--Near Neighborhood,DMumpowerEdit      9,shannonmcinerney[1]      4      0,SHAREBAIT,300,0,2014-08-03 17:00:09,18
53,H-14-9807-228604,Explore the Beauty of Historical Lichtenberg,"Lichtenberg--Berlin--Berlin--DE--Near Neighborhood",Hipmunk,Berlin--Berlin--DE--Near Neighborhood,DMumpowerEdit      9,kristenmccalla[1]      1      1,SHAREBAIT,300,0,2014-08-03 12:07:38,18
54,H-14-9807-228603,"Culture meets Convenience in Kreuzberg, Berlin","Kreuzberg--Berlin--Berlin--DE--Near Neighborhood",Hipmunk,Berlin--Berlin--DE--Near Neighborhood,DMumpowerEdit      9,mattberry[1]      6      4,SHAREBAIT,300,0,2014-08-02 15:06:20,18
55,H-14-9807-228602,"How to Get a Cheap Hotel in Funky Friedrichshain, Berlin","Friedrichshain--Berlin--Berlin--DE--Near Neighborhood",Hipmunk,Berlin--Berlin--DE--Near Neighborhood,CHemmingsEdit      7,laurenhaas[1]      3      3,SHAREBAIT,300,0,2014-08-03 14:08:56,18
56,H-14-9807-228601,"A Palace Awaits You in Charlottenburg, Germany","Charlottenburg--Berlin--Berlin--DE--Near Neighborhood",Hipmunk,Berlin--Berlin--DE--Near Neighborhood,CHemmingsEdit      7,carriedahle[1]      2      0,SHAREBAIT,300,0,2014-08-05 12:00:11,18
57,H-124-9809-228571,Create a True Berlin Experience,andel's Hotel Berlin-id=279149,Hipmunk,Berlin--Berlin--DE--Top Hotel Properties,DBararEditor      4,jessicabyard[1]      0      0,Hipmunk Hotel Properties,300,0,2014-08-03 17:52:14,12
58,H-124-9809-228570,Experience Berlin's Many Offerings,"Novotel Berlin Mitte-id=203846",Hipmunk,Berlin--Berlin--DE--Top Hotel Properties,DBararEditor      4,jessicabyard[1]      0      0,Hipmunk Hotel Properties,300,0,2014-08-03 18:01:38,12
59,H-124-9809-228569,Discover the Comforts of Home in Berlin,"Adina Apartment Hotel Berlin Checkpoint Charlie-id=260924",Hipmunk,Berlin--Berlin--DE--Top Hotel Properties,DBararEditor      4,jessicabyard[1]      0      0,Hipmunk Hotel Properties,300,0,2014-08-03 18:10:14,12
60,H-124-9809-228568,Create the Ultimate Berlin Experience,"Adina Apartment Hotel Berlin Hackescher Markt-id=357090",Hipmunk,Berlin--Berlin--DE--Top Hotel Properties,DBararEditor      4,jessicabyard[1]      0      0,Hipmunk Hotel Properties,300,0,2014-08-03 18:24:34,12
61,H-124-9809-228567,Take a Stroll Through Central Berlin,"Hotel Adlon Kempinski-id=128767",Hipmunk,Berlin--Berlin--DE--Top Hotel Properties,DBararEditor      4,jessicabyard[1]      0      0,Hipmunk Hotel Properties,303,0,2014-08-03 18:33:14,12.12
62,H-124-9809-228566,Inexpensive Berlin Resort on Main Shopping Street of Ku’Damm,"Kempinski Hotel Bristol Berlin-id=109357",Hipmunk,Berlin--Berlin--DE--Top Hotel Properties,MeganTilleyEdit      0,tamilamcdonald[1]      0      0,Hipmunk Hotel Properties,312,0,2014-08-06 13:02:38,12.48
63,H-124-9809-228565,Discounted Berlin Hotel in Mitte District,"Eurostars Berlin-id=368508",Hipmunk,Berlin--Berlin--DE--Top Hotel Properties,MeganTilleyEdit      0,tamilamcdonald[1]      0      0,Hipmunk Hotel Properties,315,0,2014-08-06 17:42:03,12.6
64,H-124-9809-228564,Cheap Luxury Hotel in Downtown in Charlottenberg Berlin,"Pullman Berlin Schweizerhof-id=186595",Hipmunk,Berlin--Berlin--DE--Top Hotel Properties,MeganTilleyEdit      0,tamilamcdonald[1]      0      0,Hipmunk Hotel Properties,320,0,2014-08-06 13:23:25,12.8
65,H-124-9809-228563,Affordable Berlin Hotel in City Center,"Hilton Hotel - Berlin-id=126327",Hipmunk,Berlin--Berlin--DE--Top Hotel Properties,MeganTilleyEdit      0,tamilamcdonald[1]      0      0,Hipmunk Hotel Properties,315,0,2014-08-06 13:18:59,12.6
66,H-124-9809-228562,Low-Cost Luxury Hotel Located in Historic Center of Berlin,"Park Inn by Radisson Berlin Alexanderplatz-id=130899",Hipmunk,Berlin--Berlin--DE--Top Hotel Properties,MeganTilleyEdit      0,tamilamcdonald[1]      0      0,Hipmunk Hotel Properties,420,0,2014-08-06 13:08:29,16.8
67,H-14-9820-228558,Fly Into the Finest Airport Ever-Haneda Airport Tokyo International,Haneda--Tokyo--None--JP--Near Airport-id=504f9ee8bb290e74d00017f2,Hipmunk,Tokyo--None--JP--Near Airport,APerellaEditor      1,lindamanning[1]      0      0,SHAREBAIT,500,0,2014-08-09 07:19:10,30
68,H-14-9821-228557,Booking the Best Flights to Tokyo,Tokyo--None--JP--Flight Destination,Hipmunk,Tokyo--None--JP--Flight Destination,CHemmingsEdit      7,tammybanfield[1]      3      3,SHAREBAIT,750,0,2014-08-04 10:03:06,45
69,H-128-9826-228556,Endless Options for Visitors to Tokyo,Tokyo--None--JP--Hotel Destination,Hipmunk,Tokyo--None--JP--Hotel Destination,DMumpowerEdit      9,stephanieyoder[1]      0      0,.25 Per Word,1250,0,2014-08-04 15:53:09,312.5
70,H-124-9825-228513,Plan an Unforgettable Vacation in Tokyo,Listel Shinjuku Hotel Tokyo-id=310443,Hipmunk,Tokyo--None--JP--Top Hotel Properties,NHollandEditor      1,jessicabyard[1]      0      0,Hipmunk Hotel Properties,205,0,2014-08-10 18:03:15,8.2
71,H-124-9825-228512,Experience a Tokyo Vacation,"The Westin Tokyo-id=108609",Hipmunk,Tokyo--None--JP--Top Hotel Properties,NHollandEditor      1,jessicabyard[1]      0      0,Hipmunk Hotel Properties,204,0,2014-08-10 18:10:27,8.16
72,H-124-9825-228511,Discover Central Tokyo,"Sotetsu Fresa Inn Hamamatsucho Daimon-id=395663",Hipmunk,Tokyo--None--JP--Top Hotel Properties,NHollandEditor      1,jessicabyard[1]      0      0,Hipmunk Hotel Properties,204,0,2014-08-10 18:15:44,8.16
73,H-124-9825-228510,Create Magical Memories in Tokyo,"Four Seasons Hotel Tokyo at Marunouchi-id=205472",Hipmunk,Tokyo--None--JP--Top Hotel Properties,NHollandEditor      1,jessicabyard[1]      0      0,Hipmunk Hotel Properties,210,0,2014-08-10 18:19:59,8.4
74,H-124-9825-228509,Experience all that Tokyo has to Offer,"Tokyo Dome Hotel-id=174057",Hipmunk,Tokyo--None--JP--Top Hotel Properties,NHollandEditor      1,jessicabyard[1]      0      0,Hipmunk Hotel Properties,207,0,2014-08-10 18:23:50,8.28
75,H-124-9825-228508,Cozy Lodgings on a Budget,"Agora Place Asakusa-id=401828",Hipmunk,Tokyo--None--JP--Top Hotel Properties,KaraParlinEditor      4,jennmcknight[1]      0      0,Hipmunk Hotel Properties,200,0,2014-08-03 21:43:45,8
76,H-124-9825-228507,Stunning Resort Hotel on Odaiba Island,"Grand Pacific Le Daiba-id=138781",Hipmunk,Tokyo--None--JP--Top Hotel Properties,KaraParlinEditor      4,jennmcknight[1]      0      0,Hipmunk Hotel Properties,208,0,2014-08-03 21:23:09,8.32
77,H-124-9825-228506,Centrally Located in Lush Shirokanedai,"Sheraton Miyako Hotel Tokyo-id=119381",Hipmunk,Tokyo--None--JP--Top Hotel Properties,KaraParlinEditor      4,jennmcknight[1]      0      0,Hipmunk Hotel Properties,201,0,2014-08-03 21:01:28,8.04
78,H-124-9825-228505,Business Accommodations Near the Tsukiji Fish Market,"Hotel Villa Fontaine SHIODOME-id=328480",Hipmunk,Tokyo--None--JP--Top Hotel Properties,KaraParlinEditor      4,jennmcknight[1]      0      0,Hipmunk Hotel Properties,205,0,2014-08-03 18:16:29,8.2
79,H-124-9825-228504,Modern Sanctuary in Tokyo,"Hotel Sunroute Plaza Shinjuku-id=256969",Hipmunk,Tokyo--None--JP--Top Hotel Properties,KaraParlinEditor      4,jennmcknight[1]      0      0,Hipmunk Hotel Properties,191,0,2014-08-03 17:42:06,7.64
80,H-14-9693-228503,Best Business Hotels in New Orleans,Business Hotels--New Orleans--LA--US--Best Of,Hipmunk,New Orleans--LA--US--Best Of,CMueriEditor      1,carriedahle[1]      2      0,SHAREBAIT,750,0,2014-08-08 13:27:36,45
81,H-14-9693-228502,Best Adventure Sport Hotels in New Orleans,"Adventure Sport Hotels--New Orleans--LA--US--Best Of",Hipmunk,New Orleans--LA--US--Best Of,CMueriEditor      1,carriedahle[1]      2      0,SHAREBAIT,750,0,2014-08-09 17:50:52,45
82,H-14-9693-228501,Book a Romantic Suite or a Charming Room in New Orleans,"Romantic Hotels--New Orleans--LA--US--Best Of",Hipmunk,New Orleans--LA--US--Best Of,DorotaEditor      4,robinraven[1]      0      0,SHAREBAIT,750,0,2014-08-04 03:55:01,45
83,H-14-9692-228500,Louis Armstrong International Airport - The Gateway to New Orleans,Louis Armstrong New Orleans Intl.--New Orleans--LA--US--Near Airport-id=504f9e4cbb290e74d0000603,Hipmunk,New Orleans--LA--US--Near Airport,CHemmingsEdit      7,davidmiah[1]      0      0,SHAREBAIT,500,0,2014-08-02 21:46:48,30
84,H-14-9688-228499,Flying to New Orleans Doesn't Need to be Expensive,New Orleans--LA--US--Flight Destination,Hipmunk,New Orleans--LA--US--Flight Destination,CMoriarityEdit      4,davidmiah[1]      0      0,SHAREBAIT,750,0,2014-08-02 21:11:23,45
85,H-128-9689-228498,New Orleans: An Affordable Cultural Getaway,New Orleans--LA--US--Hotel Destination,Hipmunk,New Orleans--LA--US--Hotel Destination,CHemmingsEdit      7,laurenjuliff[1]      0      0,.15 Per Word,1250,0,2014-08-05 06:43:13,187.5
86,H-14-9690-228497,Timing is Everything if you Want to Save Money,Audubon Golf Course--New Orleans--LA--US--Near Landmark,Hipmunk,New Orleans--LA--US--Near Landmark,DMumpowerEdit      9,bonnielaquitara[1]      2      1,SHAREBAIT,400,0,2014-08-04 19:24:28,24
87,H-14-9690-228496,Affordable Rooms in the Heart of New Orleans,"Audubon Aquarium of the Americas--New Orleans--LA--US--Near Landmark",Hipmunk,New Orleans--LA--US--Near Landmark,DMumpowerEdit      9,bonnielaquitara[1]      2      1,SHAREBAIT,400,0,2014-08-04 22:44:36,24
88,H-14-9690-228495,Economical Trip to The Big Easy,"Ames Shopping Center--New Orleans--LA--US--Near Landmark",Hipmunk,New Orleans--LA--US--Near Landmark,DMumpowerEdit      9,bonnielaquitara[1]      2      1,SHAREBAIT,400,0,2014-08-04 22:44:56,24
89,H-14-9690-228494,Find Southern Hospitality at Ama Park in Louisiana,"Ama Park--New Orleans--LA--US--Near Landmark",Hipmunk,New Orleans--LA--US--Near Landmark,ShandaSilerEdit      2,elaineheng[1]      1      1,SHAREBAIT,400,0,2014-08-05 16:56:42,24
90,H-14-9690-228493,The Best Panoramic Views of New Orleans From Algiers Ferry,"Algiers Ferry Terminal--New Orleans--LA--US--Near Landmark",Hipmunk,New Orleans--LA--US--Near Landmark,ShandaSilerEdit      2,elaineheng[1]      1      1,SHAREBAIT,400,0,2014-08-05 18:53:06,24
91,H-14-9690-228492,A.L. Davis Park Is Full of History and Pride,"A.L. Davis Park--New Orleans--LA--US--Near Landmark",Hipmunk,New Orleans--LA--US--Near Landmark,ShandaSilerEdit      2,elaineheng[1]      1      1,SHAREBAIT,400,0,2014-08-06 21:32:39,24
92,H-14-9718-228485,"The Best of Fairways and Ocean Views at Lahaina, HI, Golf Hotels",Golf Hotels--Lahaina--HI--US--Best Of,Hipmunk,Lahaina--HI--US--Best Of,KZeedickEditor      5,joewarnimont[1]      3      3,SHAREBAIT,750,0,2014-08-05 18:15:03,45
93,H-14-9718-228484,"Dive Right In to the Best Beach Hotels in Lahaina, Maui","Beach Hotels--Lahaina--HI--US--Best Of",Hipmunk,Lahaina--HI--US--Best Of,CMueriEditor      1,lindamanning[1]      0      0,SHAREBAIT,750,0,2014-08-11 18:49:26,45
94,H-14-9718-228483,"Best-Value Lahaina, Hawaii Adventure Sport Hotels for Sun, Surf, and Sand-Seekers","Adventure Sport Hotels--Lahaina--HI--US--Best Of",Hipmunk,Lahaina--HI--US--Best Of,MSchaeferEdit      1,michaelvyskocil[1]      6      6,SHAREBAIT,750,0,2014-08-03 22:20:27,45
95,H-14-9720-228482,Kapalua Airport: A Gateway to West Maui,Kapalua Airport--Lahaina--HI--US--Near Airport-id=504f9e4cbb290e74d0000603,Hipmunk,Lahaina--HI--US--Near Airport,CBrittainEditor      7,alishasmith[1]      1      1,SHAREBAIT,500,0,2014-08-04 05:32:39,30
96,H-128-9733-228480,Save Money on Your Visit to Historic Lahaina,Lahaina--HI--US--Hotel Destination,Hipmunk,Lahaina--HI--US--Hotel Destination,CBrittainEditor      7,laurenjuliff[1]      0      0,.15 Per Word,1250,0,2014-08-05 07:09:48,187.5
97,H-14-9725-228479,Western Maui's World-Acclaimed Kapalua Golf Resort Bay Course,Kapalua Golf Resort Bay Course--Lahaina--HI--US--Near Landmark,Hipmunk,Lahaina--HI--US--Near Landmark,jobrian      4,lesliefloyd[1]      0      0,SHAREBAIT,400,0,2014-08-03 22:17:26,24
