No.,Article Number,Article Title,Keyword,Client,Campaign Name,Editor,Copywriter,Article Type,Number of Words,Keyword Match in Content,Submit Date,Cost
11,H-129-9343-225838,Stay Close to the Action with Austin's Adventure Hotels,"Adventure Sport Hotel--Austin--TX--US--Best Of",Hipmunk,Austin--TX--US--Best Of,JVanVleetEdit      0,edemeirow[1]      6      0,SHAREBAIT,750,2,2014-07-28 13:42:24,45
12,PD-10-9329-225510,"Luau Banners, Signs, and Posters","http://www.stumpsparty.com/event-supplies/custom-party-banners/luau-banners/49167",PM Digital,Shindigz #3,echilds      21,CCampbellWriter[1]      0      0,COPY,340,2,2014-07-08 10:02:23,10.2
13,H-123-9202-225290,Navigating Phoenix from the Friendly Skies,Phoenix--AZ--US--Flight Destination,Hipmunk,Phoenix--AZ--US--Flight Destination,BJollyEditor      10,lyndsierobinson[1]      0      0,Hipmunk Copy (Tier 3),600,1,2014-07-07 11:15:44,36
14,H-126-9200-225235,"Best Hotel Bars in Anaheim, California",Bar Hotels--Anaheim--CA--US--Best Of,Hipmunk,Anaheim--CA--US--Best Of,ShandaSilerEdit      2,erindesantiago[1]      0      0,Hipmunk Copy (Tier 2),750,3,2014-07-24 09:43:38,90
15,H-124-9193-225118,Budget Hotel Near Disneyland,"Hotel Menage Anaheim Boutique Hotel-id=130178",Hipmunk,Anaheim--CA--US--Top Hotel Properties,BillMcSteenEdit      10,jessicaholscher[1]      0      0,Hipmunk Hotel Properties,400,2,2014-07-03 15:09:32,16
16,H-127-9155-224990,Cheap Accommodations for Family Fun,"Aulani - A Disney Resort &amp; Spa-id=391056",Hipmunk,Kapolei--HI--US--Hotel Properties,JVanVleetEdit      0,shaunabowling[1]      0      0,Hipmunk Copy (Tier 4),404,2,2014-07-04 15:52:29,16.16
17,H-127-9031-224654,"Flying into Waikoloa, Hawaii",Waikoloa--HI--US--Flight Destination,Hipmunk,Waikoloa--HI--US--Flight Destination,rkarraneditor      0,shannonmcinerney[1]      6      0,Hipmunk Copy (Tier 4),50,1,2014-07-01 10:40:47,2
18,CDM-110-7276-224352,Take Flight with Your Career: What Pilots Earn,LEBSEO- Pheonix Eat Aviation- Pilot Salaries,CopyPress Digital Media,Infographics,JillianLenzo      16,mandirogier[1]      18      5,Infographic,876,1,2014-06-27 08:20:22,0
19,H-123-8995-224339,"Best Family Hotels in Kihei, Maui Island, Hawaii",Family Hotels--Kihei--HI--US--Best Of,Hipmunk,Kihei--HI--US--Best Of,CMoritzEditor      0,sabahkarimi[1]      6      0,Hipmunk Copy (Tier 3),400,1,2014-06-26 19:33:57,24
20,H-123-8995-224338,"Best Beach Hotels in Kihei, Hawaii","Beach Hotel--Kihei--HI--US--Best Of",Hipmunk,Kihei--HI--US--Best Of,CMoritzEditor      0,sabahkarimi[1]      6      0,Hipmunk Copy (Tier 3),400,1,2014-06-26 18:46:51,24
21,H-123-8994-224336,Planning the Perfect Hawaiian Getaway? Book a Budget Hotel in Sunny Kihei,Kihei--HI--US--Hotel Destination,Hipmunk,Kihei--HI--US--Hotel Destination,,paulabeaton[1]      0      0,Hipmunk Copy (Tier 3),600,2,2014-06-29 05:34:21,36
22,H-123-8993-224335,"Tropical Charm in Kihei, Maui",Kihei--HI--US--Flight Destination,Hipmunk,Kihei--HI--US--Flight Destination,KZeedickEditor      13,jeanettehummel[1]      0      0,Hipmunk Copy (Tier 3),400,4,2014-06-26 20:33:38,24
23,H-123-8913-223986,"Mix Work With Pleasure in Kailua-Kona, Hawaii",Business Hotels--Kailua-Kona--HI--US--Best Of,Hipmunk,Kailua-Kona--HI--US--Best Of,ShaneHallEdit      10,kelliesandrik[1]      0      0,Hipmunk Copy (Tier 3),400,1,2014-06-25 21:12:31,24
24,H-123-8913-223985,"Beachside Bliss in Kailua Kona, Hawaii",Beach Hotels--Kailua-Kona--HI--US--Best Of,Hipmunk,Kailua-Kona--HI--US--Best Of,ShaneHallEdit      10,kelliesandrik[1]      0      0,Hipmunk Copy (Tier 3),400,1,2014-06-25 21:09:32,24
25,H-123-8913-223984,"Adventure Awaits in Kailua-Kona, Hawaii",Adventure Sport--Kailua-Kona--HI--US--Best Of,Hipmunk,Kailua-Kona--HI--US--Best Of,ShaneHallEdit      10,kelliesandrik[1]      0      0,Hipmunk Copy (Tier 3),400,1,2014-06-25 21:06:52,24
26,H-123-8912-223983,Fly to the Big Island through KOA,Keahole--Kailua-Kona--HI--US--Near Airport-id=504f9e4ebb290e74d0000632,Hipmunk,Kailua-Kona--HI--US--Near Airport,MCaldarelliEdit      0,mandirogier[1]      18      5,Hipmunk Copy (Tier 3),300,1,2014-06-26 15:38:47,18
27,H-123-8910-223981,From the Mainland to the Big Island,Kailua-Kona--HI--US--Flight Destination,Hipmunk,Kailua-Kona--HI--US--Flight Destination,JVanVleetEdit      0,matthewpotter[1]      2      0,Hipmunk Copy (Tier 3),400,2,2014-06-23 17:39:19,24
28,H-124-8909-223980,"Affordable Hotel on the Beach in Kailua-Kona, HI",Outrigger Royal Sea Cliff-id=193890,Hipmunk,Kailua-Kona--HI--US--Hotel Properties,rkarraneditor      0,emilyscott[1]      1      0,Hipmunk Hotel Properties,107,1,2014-06-26 13:34:24,4.28
29,H-124-8909-223978,Affordable Beach Resort,Kona Seaside Hotel-id=125919,Hipmunk,Kailua-Kona--HI--US--Hotel Properties,rkarraneditor      0,emilyscott[1]      1      0,Hipmunk Hotel Properties,252,5,2014-06-26 13:48:14,10.08
30,H-124-8909-223977,"Step Into the Ocean at Kailua-Kona, HI",Four Seasons Resort Hualalai at Historic Ka'upulehu-id=127265,Hipmunk,Kailua-Kona--HI--US--Hotel Properties,rkarraneditor      0,emilyscott[1]      1      0,Hipmunk Hotel Properties,304,2,2014-06-26 14:46:08,12.16
31,H-127-8824-223489,Visiting Hawaii's Cowboy Country,Kamuela--HI--US--Hotel Destination,Hipmunk,Kamuela--HI--US--Hotel Destination,rkarraneditor      0,megantilley[1]      0      0,Hipmunk Copy (Tier 4),200,1,2014-06-18 16:13:12,8
32,H-127-8823-223488,"Cheap Hotels and Local Coffee in Kamuela, HI",Kamuela--HI--US--Flight Destination,Hipmunk,Kamuela--HI--US--Flight Destination,CRodmanEditor      8,alananelson[1]      2      1,Hipmunk Copy (Tier 4),50,1,2014-06-22 22:38:36,2
33,H-124-8822-223483,Rejuvenating Accommodations in the Bluffs,Hapuna Beach Prince Hotel-id=108652,Hipmunk,Kamuela--HI--US--Hotel Properties,DHeuvelEdit      3,shaunabowling[1]      0      0,Hipmunk Hotel Properties,299,2,2014-06-21 11:55:51,11.96
34,H-124-8822-223482,Beachfront Luxury Hotel at a Great Nightly Rate,Mauna Lani Bay Hotel and Bungalows-id=220778,Hipmunk,Kamuela--HI--US--Hotel Properties,jobrian      11,tamilamcdonald[1]      0      0,Hipmunk Hotel Properties,400,1,2014-06-19 06:48:43,16
35,H-127-8773-223322,How to Find Hot Hotel Deals in Koloa,Koloa--HI--US--Hotel Destination,Hipmunk,Koloa--HI--US--Hotel Destination,MeghanPaulEditor      8,alishasmith[1]      0      0,Hipmunk Copy (Tier 4),200,1,2014-06-20 06:59:48,8
36,H-124-8770-223317,Affordable Luxury Hotel on the Beach,Sheraton Kauai Resort-id=105795,Hipmunk,Koloa--HI--US--Hotel Properties,MeghanPaulEditor      8,joaniewang[1]      0      0,Hipmunk Hotel Properties,410,1,2014-06-23 16:04:45,16.4
37,H-123-8749-223193,"Top Pool Hotels in Galveston, Texas",Pool Hotels--Galveston--TX--US--Best Of,Hipmunk,Galveston--TX--US--Best Of,KSandrikEditor      0,sabahkarimi[1]      6      0,Hipmunk Copy (Tier 3),400,1,2014-06-20 20:24:46,24
38,CC-100-8697-222884,Planning a Carlsbad Excursion? 4 Things You Should Know,"Planning a Carlsbad Excursion? # Things You Should Know",Connection Content,"Hipmunk Connections, Phase 1",MCaldarelliEdit      0,kristenmccalla[1]      4      1,Connection ShareBait,500,1,2014-06-23 12:23:53,30
39,H-123-8690-222805,"Magnificent Golf Resorts in Wailea, Maui",Golf Hotels--Wailea--HI--US--Best Of,Hipmunk,Wailea--HI--US--Best Of,KSandrikEditor      0,christinagreen[1]      8      7,Hipmunk Copy (Tier 3),400,1,2014-06-16 10:22:01,24
40,H-123-8690-222804,Spectacular Beach Resorts in Wailea,Beach Hotels--Wailea--HI--US--Best Of,Hipmunk,Wailea--HI--US--Best Of,KSandrikEditor      0,christinagreen[1]      8      7,Hipmunk Copy (Tier 3),400,2,2014-06-16 21:06:22,24
41,H-123-8690-222803,"Adventure Seekers Wanted at These Wailea, Maui Hotels",Adventure Sport Hotels--Wailea--HI--US--Best Of,Hipmunk,Wailea--HI--US--Best Of,KSandrikEditor      0,christinagreen[1]      8      7,Hipmunk Copy (Tier 3),400,2,2014-06-13 12:19:53,24
42,H-123-8687-222796,It’s Always a Wonderful Time to Visit Wailea,Wailea--HI--US--Hotel Destination,Hipmunk,Wailea--HI--US--Hotel Destination,rkarraneditor      0,adamgroff[1]      3      0,Hipmunk Copy (Tier 3),600,2,2014-06-18 15:12:16,36
43,H-123-8686-222795,Touching down in Wailea,Wailea--HI--US--Flight Destination,Hipmunk,Wailea--HI--US--Flight Destination,NHauptmanEdit      16,cthongkham[1]      0      0,Hipmunk Copy (Tier 3),400,1,2014-06-26 02:24:50,24
44,H-124-8684-222787,Lavish Resort on Maui,Hotel Wailea-id=218397,Hipmunk,Wailea--HI--US--Hotel Properties,KSandrikEditor      0,dreenadtaplin[1]      0      0,Hipmunk Hotel Properties,299,1,2014-06-17 00:37:31,11.96
45,H-124-8684-222786,Beachside Comforts at Out-Of-This-World Prices,Wailea Beach Marriott Resort &amp; Spa-id=153179,Hipmunk,Wailea--HI--US--Hotel Properties,KSandrikEditor      0,viveksaxena[1]      0      0,Hipmunk Hotel Properties,301,1,2014-06-19 12:18:45,12.04
46,H-124-8684-222784,Pleasurable Stay at the Fairmont Kea Lani Maui,The Fairmont Kea Lani Maui-id=128275,Hipmunk,Wailea--HI--US--Hotel Properties,rkarraneditor      0,michaeldanielson[1]      0      0,Hipmunk Hotel Properties,395,2,2014-06-18 15:51:01,15.8
47,EH-14-8683-222777,The Truth Behind Trader Joe’s Supply Chain,"The Truth Behind Trader Joe’s Supply Chain",Ethan Hathaway,Case Studies June-Aug '14,ADodgeEditor      0,AWithersPaid[1]      24      1,SHAREBAIT,500,1,2014-06-19 09:33:24,30
48,CC-100-8662-222527,How to Throw the Perfect Summer BBQ,"How to Throw the Perfect Summer BBQ",Connection Content,One Kings Lane June 14,CaitlinEditor      0,melissaschmitz[1]      2      2,Connection ShareBait,675,1,2014-06-09 22:24:59,40.5
49,OT-14-8619-222149,BIG ISLAND,"BIG ISLAND",Orbitz Travel,Orbitz: Hilton,NHauptmanEdit      16,kristenmccalla[1]      4      1,SHAREBAIT,200,3,2014-06-21 20:55:47,12
50,OT-14-8615-222087,"Westin Kauai, Hawaii Hotels","KAUAI",Orbitz Travel,Orbitz Westin,JoyNelsonEditor      18,michaelsarko[1]      8      8,SHAREBAIT,200,2,2014-06-16 04:31:31,12
51,OT-14-8615-222073,"Westin Oahu, HI hotels","OAHU",Orbitz Travel,Orbitz Westin,JoyNelsonEditor      18,kristenmccalla[1]      4      1,SHAREBAIT,200,1,2014-06-14 20:54:47,12
52,OT-14-8615-222070,Westin Maui hotels,"MAUI",Orbitz Travel,Orbitz Westin,JoyNelsonEditor      18,kristenmccalla[1]      4      1,SHAREBAIT,200,1,2014-06-14 15:46:44,12
53,OT-14-8596-221917,"Hyatt Maui, HI Hotels","Hyatt",Orbitz Travel,Orbitz: Hyatt,JoyNelsonEditor      18,gwinston[1]      4      4,SHAREBAIT,200,2,2014-06-07 20:36:34,12
54,OT-14-8536-221641,Marriott,"Marriott",Orbitz Travel,Orbitz Marriot May '14,AWithersEditor      0,sheilaolson[1]      1      0,SHAREBAIT,200,1,2014-06-03 22:44:51,12
55,OT-14-8536-221631,Marriott,"Marriott",Orbitz Travel,Orbitz Marriot May '14,ARadesEditor      0,alliemuelleck[1]      0      0,SHAREBAIT,200,1,2014-06-05 09:59:32,12
56,CC-100-8231-221079,"No Worries, Mon: 7 Islands Where Stress Isn't Allowed",No Worries Mon: # Islands Where Stress Isn't Allowed,Connection Content,IHG March '14,JRakowskiEditor      22,kristenmccalla[1]      4      1,Connection ShareBait,1000,1,2014-05-26 22:08:16,60
57,O-14-8464-221027,Marriott HI,"Marriott HI",Orbitz,Orbitz May '14 Test,CarolineCampbell      33,mattthompson[1]      14      7,SHAREBAIT,200,1,2014-05-20 12:05:20,12
58,H-14-8455-220891,The Picture Perfect Mauna Lani Bay Hotel and Bungalows,"Mauna Lani Bay Hotel and Bungalows",Hipmunk,Hipmunk Hotel Properties May '14 #3,JVandernaaldEdit      8,christclayton[1]      0      0,SHAREBAIT,300,2,2014-05-22 11:53:28,18
59,H-14-8454-220824,Get Pampered in Paradise at Makena Beach and Golf Resort,"Makena Beach and Golf Resort",Hipmunk,Hipmunk Hotel Properties May '14 #2,JRakowskiEditor      22,lyndsierobinson[1]      0      0,SHAREBAIT,300,1,2014-05-18 21:57:33,18
60,AR-14-8324-219256,4 Road Trips You Should Take in Texas if You Live in Taylor,"# Road Trips You Should Take in Texas if You Live in Taylor ",Auto Revo,AutoRevo April '14 #2,ADodgeEditor      0,laurenkatulka[1]      11      9,SHAREBAIT,500,1,2014-04-17 00:34:21,30
61,CDM-110-7276-214494,The 10 Healthiest States in America,INTERACTIVE CS-UIC MSHI - Top 10 Healthiest and Happiest States in America,CopyPress Digital Media,Infographics,vcastrillo      5,laurenkatulka[1]      11      9,Infographic,2906,1,2014-04-07 16:47:02,0
62,OTC-10-8283-214467,Luau Decorations,"http://www.orientaltrading.com/occasions-and-events/luau/luau-party-decorations-a1-553566.fltr",Oriental Trading Company,OTC April '14 Batch #1,ericthuesen      1,AWithersPaid[1]      24      1,COPY,150,4,2014-04-08 13:13:02,4.5
63,CC-100-8210-213703,TV and Film's Top 5 Detectives,"TV and Film's Top # Detectives",Connection Content,Creative Signals: http://onlinecjdegrees.uc.ed,,ErinOfteliePaid[1]      0      0,Connection ShareBait,675,1,2014-03-18 03:53:24,40.5
64,UCL-14-8206-213627,5 Foods You Didn't Know Were Genetically Modified (GMO),"# Foods You Didn't Know Were Genetically Modified (GMO)",Urgent Care Locations,UrgentCareLocations March '14,ericthuesen      1,kathymcgraw[1]      9      5,SHAREBAIT,500,2,2014-03-14 22:43:03,30
65,CC-100-8131-212962,Celebrate Your Freedom At These 5 Beaches,"Celebrate Your Freedom At These # Beaches",Connection Content,Silver Oaks Casino Feb,JRakowskiEditor      22,laurenkatulka[1]      11      9,Connection ShareBait,675,1,2014-02-27 03:42:53,40.5
66,TLC-14-8094-212775,Aviation Logos,"aviation logos",The Logo Company,TLC Portfolio Pages Feb '14,CarolineCampbell      33,mandirogier[1]      18      5,SHAREBAIT,1000,1,2014-02-27 20:03:24,60
67,L-14-8049-212503,Getting It on the Go: 6 Best Cities for Food Trucks,"Getting It On the Go: # Best Cities for Food Trucks",Livability,Livability Feb.'14,,carastromness[1]      7      1,SHAREBAIT,500,1,2014-02-23 19:01:08,30
68,V-14-7700-212266,What's In and Out for 2014,"What's In and Out for 2014 ",VSE,Hollywood Psychics,,,SHAREBAIT,500,1,2014-02-17 10:31:01,30
69,CC-100-8005-211862,5 Easy DIY Projects to Bring the Spirit of the Beach to your Abode,"# Easy DIY Projects to Bring the Spirit of the Beach to Your Abode",Connection Content,lyonapex.com (PPC For Hire) March '14,,ashostak[1]      9      5,Connection ShareBait,675,1,2014-02-06 11:28:13,40.5
70,S-14-7981-211742,Seattle Mariners: Vegan Options,Seattle Mariners: Vegan options,ScoreBig,ScoreBig Feb '14 #1,,adamgroff[1]      3      0,SHAREBAIT,500,1,2014-02-11 15:42:28,30
71,OTC-10-7921-211140,Red Ribbon Merchandise &amp; Awareness Products - Red Ribbon Ideas,"http://www.orientaltrading.com/red-ribbon-a1-90000+1629-1.fltr",Oriental Trading Company,OTC Jan '14,,,COPY,150,1,2014-01-27 09:06:49,4.5
72,OTC-10-7921-211089,"Discount Luau Party Supplies, Hawaiian Decorations &amp; Party Ideas","http://www.orientaltrading.com/occasions-and-events/luau-a1-550298+1604-2-1.fltr",Oriental Trading Company,OTC Jan '14,,saranapier[1]      0      0,COPY,150,3,2014-01-28 18:34:13,4.5
73,OTC-10-7922-210969,"Rose Petals, Fake Rose Petals, Fake Flower Petals","http://www.orientaltrading.com/occasions-and-events/wedding-supplies/rose-petals-and-flowers-a1-550546-1.fltr",Oriental Trading Company,OTC Jan '14 Batch 1,ericthuesen      1,mandirogier[1]      18      5,COPY,150,1,2014-01-20 16:13:42,4.5
74,OTC-10-7922-210952,"Luau Decorations, Luau Party Decorations - Hawaiian Luau Decorations","http://www.orientaltrading.com/party-supplies/party-decorations/luau-a1-551267+1297-1.fltr",Oriental Trading Company,OTC Jan '14 Batch 1,ericthuesen      1,mandirogier[1]      18      5,COPY,150,3,2014-01-21 09:29:29,4.5
75,OTC-10-7922-210910,Bridal Shower Tropical &amp; Beach- Party Supplies &amp; Decorations,"http://www.orientaltrading.com/wedding/bridal-shower/tropical-and-beach-a1-90000+1596+1507-2-1.fltr",Oriental Trading Company,OTC Jan '14 Batch 1,ericthuesen      1,,COPY,150,1,2014-01-21 10:05:22,4.5
76,S-14-7909-210773,Arizona Diamondbacks: Vegan Options,"Arizona Diamondbacks: Vegan Options",ScoreBig,ScoreBig Jan '14 Batch 2,CarolineCampbell      33,mandirogier[1]      18      5,SHAREBAIT,500,1,2014-01-21 17:20:00,30
77,CC-100-7807-209572,5 Ways to Stay Green While Traveling,"# Ways to Stay Green While Traveling",Connection Content,189988 (TLA) 27 cm's for expedia.com,,laurenkatulka[1]      11      9,Connection ShareBait,500,1,2013-12-17 08:02:08,30
78,L-10-7789-208843,Live Short Sleeve Mini Pique Tropical Printed Polo Shirt,"Live Short Sleeve Mini Pique Tropical Printed Polo Shirt ",Lacoste,Lacoste Dec '13 PD,CBerghoefer      0,michaelgeer[1]      0      0,COPY,40,1,2013-12-20 09:13:54,1.2
79,M-84-7771-208552,Shorts Swim,"shorts swim",Macy's,Macy's: Week of Dec 10th-16th,CarolineCampbell      33,alananelson[1]      2      1,Macy's Copy,400,1,2013-12-16 11:52:32,0
80,TS-10-7749-207637,GLI-4130,"GLI-4130",Tattoo Sales,TM Dec '13 Batch 3,,,COPY,100,1,2013-12-10 13:36:23,3
81,TS-10-7748-207578,GID-4069,"GID-4069",Tattoo Sales,TM Dec '13 Batch 2,,alliemuelleck[1]      0      0,COPY,100,1,2013-12-09 21:48:17,3
82,I-14-7613-205595,7 Reasons Hawaii Hates You,# Reasons Hawaii Hates You,Infolific,Infolific Test,,mattthompson[1]      14      7,SHAREBAIT,1000,8,2013-11-15 14:50:44,60
83,OTC-10-7619-205471,Special Occasion Supplies,"http://www.orientaltrading.com/occasions-and-events-a1-550290.fltr",Oriental Trading Company,OTC Nov '13 Batch 1,CarolineCampbell      33,sszczerbiak[1]      12      0,COPY,150,1,2013-11-11 16:34:35,4.5
84,CC-100-7507-203689,5 Exciting Vacations That Don't Include Alcohol,"# Exciting Vacations That Don't Include Alcohol ",Connection Content,WebPageFX October '13,echilds      21,RaubiWriter[1]      1      0,Connection ShareBait,500,1,2013-10-09 08:32:01,30
85,CC-100-7453-202535,From Aloha to Applications: 6 of Hawaii's Best Mobile Apps,From Aloha to Applications: # of Hawaii's Best Mobile Apps,Connection Content,Hawaiian Telcom (TSA) Oct '13,JRakowskiEditor      22,,Connection ShareBait,750,5,2013-11-15 16:42:01,45
86,CC-100-7445-201847,6 Reasons to Move Your Business to Hawaii,# Reasons to Move Your Business to Hawaii,Connection Content,Hawaiian Telcom (TSA) Sept '13,,,Connection ShareBait,750,1,2013-09-26 09:45:01,45
87,M-84-7386-200947,Shirts,"shirts",Macy's,Macy's: Week of Sept 17th-Sept 23rd,,missyshelton[1]      9      9,Macy's Copy,400,1,2013-09-23 06:04:12,0
88,M-84-7386-200945,O'Neill,"oneill",Macy's,Macy's: Week of Sept 17th-Sept 23rd,,missyshelton[1]      9      9,Macy's Copy,400,1,2013-09-21 22:40:13,0
89,CC-100-7340-199056,5 Epic Travel Experiences,"# Epic Travel Experiences",Connection Content,188517 (TLA) 29 cm's for expedia.com,JRakowskiEditor      22,,Connection ShareBait,500,1,2013-08-25 21:32:29,30
90,CC-100-7340-199037,Sunny and Sandy: Top 5 Beaches to Visit for a Vacation,"Sunny and Sandy: Top # Beaches to Visit for a Vacation",Connection Content,188517 (TLA) 29 cm's for expedia.com,,michaelsarko[1]      8      8,Connection ShareBait,500,1,2013-08-25 21:34:24,30
91,CC-100-7306-198602,Top 7 Destinations to Travel to When You Have Extra Air Miles,"Top # Destinations to Travel to When You Have Extra Air Miles",Connection Content,188051 Expedia 9 Links,echilds      21,,Connection ShareBait,500,1,2013-08-12 13:48:28,30
92,BS-10-7207-197608,Lomi-Lomi (Hawaiian),"Lomi-Lomi (Hawaiian)",Bellezza Spa,July '13 PD New,CBerghoefer      0,saralegge[1]      0      0,COPY,400,5,2013-07-22 11:50:25,12
93,CC-100-7143-196747,Top 4 Tiki Bars in the U.S.,"Top # Tiki Bars in the US",Connection Content,(iAcquire) Shadestore July,echilds      21,,Connection ShareBait,500,1,2013-07-04 14:33:31,30
94,CC-100-7130-196619,Hawaiian Vacation Destinations That Aren't Shrouded with Touristy Ambience,"Hawaiian Vacation Destinations That Aren't Shrouded with Touristy Ambience",Connection Content,187594 (TLA) Expedia,,natashamier[1]      2      2,Connection ShareBait,500,4,2013-07-03 18:59:12,30
95,CC-100-7076-195934,5 Business Communication Tools that Will Give Your Startup the Edge,# Business Communication Tools That Will Give Your Startup The Edge,Connection Content,Hawaiian Telcom June '13,echilds      21,stevenrichmond[1]      2      2,Connection ShareBait,500,1,2013-06-21 20:50:05,30
96,CC-100-7051-195498,9 of The Strangest Laws in the United States,# of The Strangest Laws in the United States,Connection Content,187525 (TLA) Lopez Bail June '13,JRakowskiEditor      22,laurenkatulka[1]      11      9,Connection ShareBait,750,1,2013-06-24 01:26:51,45
97,IMN-14-7027-195392,How to Throw a Chic Garden Party &amp; Garden Party Theme Ideas,How to Throw a Chic Garden Party &amp; Garden Party Theme Ideas,Internet Marketing NInjas,AvasFlowers June '13 SB,CBerghoefer      0,,SHAREBAIT,500,2,2013-06-27 11:50:50,30
98,BAB-104-6991-194922,"Festivals and Events in Volcano, Hawaii","http://www.bedandbreakfast.com/volcano-hawaii.html",Bed and Breakfast,BedandBreakfast: Event Guides June '13,,alananelson[1]      2      1,HomeAway Content,300,4,2013-07-26 16:37:23,15
99,CC-100-6961-194268,6 Islands You Can Consider Paradise,"# Islands You Can Consider Paradise",Connection Content,186956 (TLA) Expedia.com,HarveyGEditor      31,,Connection ShareBait,500,1,2013-06-05 00:49:48,30
100,CC-100-6919-193412,9 Wildest and Craziest Travel Excursions Out There,# Wildest and Craziest Travel Excursions Out There,Connection Content,Digital Volition: Expedia May '13 (1000 word),HarveyGEditor      31,lesliefloyd[1]      0      0,Connection ShareBait,1000,1,2013-05-20 20:33:03,60
101,VHR-14-6834-190463,6 Babymoon Destinations Parents-To-Be Will Adore,# Babymoon Destinations Parents-To-Be Will Adore,Vacation Home Rentals,VHR Apr '13 SB,CBerghoefer      0,lyndsierobinson[1]      0      0,SHAREBAIT,1000,1,2013-05-14 21:52:54,60
102,CC-100-6869-190123,The 5 Friendliest Beach Towns in America,"The Friendliest Beach Towns in America",Connection Content,186513 (TLA) Expedia.com,echilds      21,adamgroff[1]      3      0,Connection ShareBait,500,2,2013-05-07 15:42:42,30
103,CC-100-6865-189977,The Top 7 Best Cities to Move to in 2013,"The Top # Best Cities to Move To in 2013",Connection Content,186484 (TLA) affordablemoves.com,echilds      21,lesliefloyd[1]      0      0,Connection ShareBait,500,1,2013-05-07 13:42:18,30
104,MC-14-6858-189761,7 Theme Parties Everyone Wants to Go to,"# Theme Parties Everyone Wants to Go to",Mr. Costumes,Mr. Costumes May '13 SB,CBerghoefer      0,mandirogier[1]      18      5,SHAREBAIT,500,4,2013-05-05 17:57:31,30
105,CC-100-6849-189650,5 Best Cities to Raise a Family,# Best U.S Cities to Raise a Family,Connection Content,GetPageOne April '13,HarveyGEditor      31,ericschad[1]      3      0,Connection ShareBait,500,1,2013-04-30 23:50:24,30
106,CC-100-6786-187565,5 Family Friendly Activities for Your Summer Vacation,"# Family Friendly Activities for Your Summer Vacation",Connection Content,TLA: Auto Dealerships (185910),HarveyGEditor      31,,Connection ShareBait,500,1,2013-04-15 08:43:54,30
107,BAB-104-6756-187012,Great Anniversary Trip Ideas,"Great Anniversary Trip Ideas",Bed and Breakfast,BedandBreakfast: Couples Vacation,,daniellebowser[1]      13      0,HomeAway Content,600,1,2013-04-06 22:49:12,30
