Campaign Name,Campaign ID,Domain,Number of Keywords,Campaign Keywords,Mapping-ID,Optional Field 1,Optional Field 2,Optional Field 3,Optional Field 4,,,,,,,,,,
breakthroughsabroad.org - 20,,breakthroughsabroad.org,20,breakthroughsabroad.org,breakthroughsabroad.org,"Break Through Education provides teachers, students, and practitioners who are committed to and experienced in combining service with learning and travel","study abroad, international learning, and online learning for high school and college students",Education/international learning/study abroad/online learning/collaborative learning,,,,,,,,,,,
content-peering.org - 20,,content-peering.org,20,content-peering.org,content-peering.org,"Group study, working together",Education/Peer Reviews/Online collaborations/Study groups,,,,,,,,,,,,
dontread.org - 20,,dontread.org,20,dontread.org,dontread.org,Educational technology,Educational resources,"Education/Technology, interference or benefit/E-readers/Online learning/Online resources",,,,,,,,,,,
freethings4educators.com - 20,,freethings4educators.com,20,freethings4educators.com,freethings4educators.com,,Education/Teaching/Supplies,Grammar School/Junior High/High School/College/Pay Grade,,,,,,,,,,,
lifeinablender.org - 20,,lifeinablender.org,20,lifeinablender.org,lifeinablender.org,Information about different Colleagues entry requirements,Tips and advice for getting into the school you want,Education/Graduate/Undergraduate/Entrance exams/College courses in high school/AP courses,,,,,,,,,,,
lucknowuniv.org - 20,,lucknowuniv.org,20,lucknowuniv.org,lucknowuniv.org,Tips and Advice for continued education,Advice and support for returning to education,Education/Secondary Education/Continuing Education/Online courses/Adult Education,,,,,,,,,,,
trainingpost.org - 20,,trainingpost.org,20,trainingpost.org,trainingpost.org,"Tips and Advice for how to advance your career, what training courses are relevant etc",Advanced training & learning,Education/Continuing Education/Online Learning/Employment Requirements,,,,,,,,,,,
trans-interp-guild.org - 20,,trans-interp-guild.org,20,trans-interp-guild.org,trans-interp-guild.org,,Tips and advice for learning a new language,Education/Bi-lingual learning/Language Learning/Online Resources/Study Abroad,,,,,,,,,,,
writes.org - 20,,writes.org,20,writes.org,writes.org,"SAT/ACT/FCAT and other test preparation, advice and support",Writing tips and advice,Education/English/Grammar/Papers/Writing Sections in SAT/ACT/FCAT,,,,,,,,,,,
wienvdecade.org - 20,,wienvdecade.org,20,wienvdecade.org,wienvdecade.org,Tips and advice for being green,Environmentally friendly practices for businesses big and small,Environment/Business Benefits/Recycling/Construction/Fossil Fuel,,,,,,,,,,,
grafitti.org - 20,,grafitti.org,20,grafitti.org,grafitti.org,"What works, never goes out of style, always looks good",How to match accessories,Fashion/Colors/Patters/Fabrics/Contrasting fashion/Accessories Head to toe,,,,,,,,,,,
keepflbeautiful.org - 20,,keepflbeautiful.org,20,keepflbeautiful.org,keepflbeautiful.org,Celeb fashion and what they are wearing now,"Seasonal fashion, what to wear and when?",Fashion/Media impact/who is wearing it/why its popular/warm fashions/cold fashions/colors/patterns,,,,,,,,,,,
kta-usa.org - 20,,kta-usa.org,20,kta-usa.org,kta-usa.org,"Fashion trends, whats in, whats out",What the celebs are wearing,Fashion/Fashion Trends/Budget Fashion/Handbags/Shoes/Accessories,,,,,,,,,,,
theedgemag.org - 20,,theedgemag.org,20,theedgemag.org,theedgemag.org,How to make a fashion statement,Standing out among the fashionable,Fashion/Extreme fashions/Hair/Makeup/Tattoos/Piercings,,,,,,,,,,,
usamade.org - 20,,usamade.org,20,usamade.org,usamade.org,"TV fashion shows, how to enter",American Fashion,Fashion/US fashions/Models/Designers/Reality Shows,,,,,,,,,,,
vipe.org - 20,,vipe.org,20,vipe.org,vipe.org,Extreme hairstyles & makeup,,Fashion/Extreme fashions/Hair/Makeup,,,,,,,,,,,
constrained.org - 20,,constrained.org,20,constrained.org,constrained.org,"Refinancing, Financial Budgeting, helping you get through the recession",Tips and advice for adjusting to a lower income,Finance/Budgeting/Recession/Debt Collectors/What bills to get rid of/What to sacrifice,,,,,,,,,,,
dollarsense.org - 20,,dollarsense.org,20,dollarsense.org,dollarsense.org,"Spending and Living on a Budget -  cut back, skim a little off the top, and learn to live without the luxury they are used to",Advice for spending wisely - making sure you get value for your money,Finance/Budgeted Living/Debt/Bankruptcy/Finding the best deals/Savings programs,,,,,,,,,,,
aafaflorida.org - 20,,aafaflorida.org,20,aafaflorida.org,aafaflorida.org,Fitness on a budget,Physical Therapy,Medical care for injures,,,,,,,,,,,
familycaregivers.org - 20,,familycaregivers.org,20,familycaregivers.org,familycaregivers.org,finding the right place for your elders,care home facilities,Medical/nursing homes/assisted living/at home care/hospice/terminal disease,,,,,,,,,,,
fairlaws4families.org - 20,,fairlaws4families.org,20,fairlaws4families.org,fairlaws4families.org,Legal issues involving children,Family court,Mommy/Legal/Family Law/Adoptions/Divorce/Custody Cases,,,,,,,,,,,
alphabethouse.org - 20,,alphabethouse.org,20,alphabethouse.org,alphabethouse.org,Mothers blog - Tips and Advice for budgeting both time & money (as a working mom or housewife),Helping your kids with their homework and school projects,Mommy/Budgeting/Homework help and school projects/Working moms,,,,,,,,,,,
ambercenter.org - 20,,ambercenter.org,20,ambercenter.org,ambercenter.org,Mothers blog - Tips and Advice for keeping your child safe,Technology that helps you keep track of your kids,"Tips & advice for when out and about with your children, in crowds, not loosing them, etc",,,,,,,,,,,
bluepuddle.org - 20,,bluepuddle.org,20,bluepuddle.org,bluepuddle.org,First time parenting resource - Tips and Advice for new moms,Mothers - Infant care/Medical care/Birthing process/First Year,"Being a mom, from Conception to kindergarden",,,,,,,,,,,
caughtinthemiddle.org - 20,,caughtinthemiddle.org,20,caughtinthemiddle.org,caughtinthemiddle.org,Mom's Blog - Single parenting tips and advice,Information for helping children's emotional struggles of divorced,Mom's blog - Children w/ Divorced Parents/Emotional Struggles/Single working parents,,,,,,,,,,,
childnetawards.org - 20,,childnetawards.org,20,childnetawards.org,childnetawards.org,Living with a special child,The life of a gifted child,Mommy/Gifted students/Older children/Stress of a having a special child/Encouraging a child,,,,,,,,,,,
cmgonline.org - 20,,cmgonline.org,20,cmgonline.org,cmgonline.org,Ways to punish a misbehaving kid,Ways to reward a well-behaved child,Mommy/Common fights/Common solutions/Punishments/Rewards/Tips and Tricks,,,,,,,,,,,
cuddleinternational.org - 20,,cuddleinternational.org,20,cuddleinternational.org,cuddleinternational.org,Taking care of a baby,The needs of a newborn baby,Mommy/Infant care/Medical care/Birthing process/First Year,,,,,,,,,,,
helpsl.org - 20,,helpsl.org,20,helpsl.org,helpsl.org,The needs of a newborn baby,Caring for newborn babies,Mommy/New mothers/infant care/medical needs/vaccinations/breast feeding/tips and tricks,,,,,,,,,,,
kidscampaign.org - 20,,kidscampaign.org,20,kidscampaign.org,kidscampaign.org,Things you should know as a parent,Living with a growing child,Mommy/Parenting News/Tips and Tricks/Parenting Resources/Child Development,,,,,,,,,,,
kidstimes.org - 20,,kidstimes.org,20,kidstimes.org,kidstimes.org,Life as a parent,Tips to know as a parent,Mommy/Parenting News/Tips and Tricks/Parenting Resources/Child Development,,,,,,,,,,,
parents-planet.com - 20,,parents-planet.com,20,parents-planet.com,parents-planet.com,Tips and advice for getting your kids to do what you want,"Advice on how to healthy raise your child, stress-free",Mommy/Parenting News/Tips and Tricks/Parenting Resources/Child Development,,,,,,,,,,,
parentsresource.org - 20,,parentsresource.org,20,parentsresource.org,parentsresource.org,Information on raising children of all ages,late age pregnancy tips and advice,Mommy/Online Resources/How to/Tips and Advice/All ages ,,,,,,,,,,,
steppingtogether.org - 20,,steppingtogether.org,20,steppingtogether.org,steppingtogether.org,Tips & Advice for helping children cope with the emotions caused by a parent fighting overseas,"Family time, the importance and how to make sure it happens",Mommy/Family activities/Parents fighting overseas/working parents/scheduling family time,,,,,,,,,,,
teenaide.org - 20,,teenaide.org,20,teenaide.org,teenaide.org,Signs that your child may be abusing substances,Helping you child: learn to drive/ prep for college,Mommy/Teenagers/Drugs/Drinking/Driving/College,,,,,,,,,,,
worldfamilypolicycenter.org - 20,,worldfamilypolicycenter.org,20,worldfamilypolicycenter.org,worldfamilypolicycenter.org,Legal age for children to start working,,Parenting/Around the World/What kids can and can't do internationally/Child labor laws/DFPS,,,,,,,,,,,
cpr4womenandfamilies.org - 20,,cpr4womenandfamilies.org,20,cpr4womenandfamilies.org,cpr4womenandfamilies.org,Teaching you kids what to do in an emergency,keeping children and pets safe around a open pool,Mommy/Medical/News parents/Emergency situations/what siblings should know/Kids & pets/kids & pools,,,,,,,,,,,
reportingtheworld.org - 20,,reportingtheworld.org,20,reportingtheworld.org,reportingtheworld.org,"cover wars, international affairs, government happenings",one-stop resource for news from around the world,News/National News/International News/International Affairs/War/Government,,,,,,,,,,,
theamericanprowler.org - 20,,theamericanprowler.org,20,theamericanprowler.org,theamericanprowler.org,"different states, politics and government, nation-wide elections, the economic status of the country, and international affairs","timely news, entertainment, information on the war efforts, and sports around the nation",News/National news/Events/Government/Sports/Entertainment/International Affairs,,,,,,,,,,,
africanconflict.org - 20,,africanconflict.org,20,africanconflict.org,africanconflict.org,Africa: (News)/News/War/American Aid/Culture,"promote a culture of peace and stability by spreading and exchanging news information, expertise on conflict resolution, and to contribute to the development of African","continent of Africa, its news, culture, history, international affairs, and travel information",,,,,,,,,,,
alohaairlines.org - 20,,alohaairlines.org,20,alohaairlines.org,alohaairlines.org,Hawaii (News)/News/Weather/Travel Information/History/Culture,About the Hawaiian islands + Travel & Tourism,Hawaii History & Culture,,,,,,,,,,,
boiseriverfestival.org - 20,,boiseriverfestival.org,20,boiseriverfestival.org,boiseriverfestival.org,Boise River - (News)/News/Crime/Events/Weather/Entertainment/Sports,"Boise River - Travel & Tourism, History & Culture",Boise River,,,,,,,,,,,
bostonharborheritage.org - 20,,bostonharborheritage.org,20,bostonharborheritage.org,bostonharborheritage.org,"Boston, MA- (News)/News/Crime/Events/Weather/Entertainment/Sports","Boston - Travel & Tourism, History & Culture",Boston Harbor,,,,,,,,,,,
canada-lb.org - 20,,canada-lb.org,20,canada-lb.org,canada-lb.org,Canada (News)/News/Crime/Events/Weather/Entertainment/Sports,"Canada - Travel & Tourism, History & Culture",Canada,,,,,,,,,,,
cherokeecounty-nc.org - 20,,cherokeecounty-nc.org,20,cherokeecounty-nc.org,cherokeecounty-nc.org,North Carolina (News)/News/Crime/Events/Weather/Entertainment/Sports,"North Carolina - Travel & Tourism, History & Culture","North Carolina local and state news, sports stats and scores, entertainment happening in the area, and what government business citizens should be aware of",,,,,,,,,,,
chisagocity.org - 20,,chisagocity.org,20,chisagocity.org,chisagocity.org,Chicago City (News)/News/Crime/Events/Weather/Entertainment/Sports,Chicago city - Travel & Tourism,"Chicago City Tourists can plan their vacation based on the history, culture, entertainment, and weather",,,,,,,,,,,
chisholmmnchamber.com - 20,,chisholmmnchamber.com,20,chisholmmnchamber.com,chisholmmnchamber.com,Minnesota (News)/News/Crime/Events/Weather/Entertainment/Sports,"Minnesota - Travel & Tourism, History and culture","Minnesota  state government business, and economic status compared to the nation",,,,,,,,,,,
city-of-stbernard.org - 20,,city-of-stbernard.org,20,city-of-stbernard.org,city-of-stbernard.org,Ohio (News)/News/Crime/Events/Weather/Entertainment/Sports,"Ohio - Travel & Tourism, History & Culture",,,,,,,,,,,,
citycruiser.org - 20,,citycruiser.org,20,citycruiser.org,citycruiser.org,Miami (News)/News/Crime/Events/Weather/Entertainment/Sports,"Miami - Travel & Tourism, History & Culture",,,,,,,,,,,,
cityofbethlehem.org - 20,,cityofbethlehem.org,20,cityofbethlehem.org,cityofbethlehem.org,Pennsylvania (News)/News/Crime/Events/Weather/Entertainment/Sports,"Pennsylvania - Travel & Tourism, History & Culture",,,,,,,,,,,,
embjapan-om.org - 20,,embjapan-om.org,20,embjapan-om.org,embjapan-om.org,Japan (News)/News/Crime/Events/Weather/International Affairs,"Japan - Travel & Tourism, History & Culture",Japanese culture and tradition,,,,,,,,,,,
emjamusa.org - 20,,emjamusa.org,20,emjamusa.org,emjamusa.org,Jamaica (News)/News/Crime/Events/Weather/Entertainment/Sports,"Jamacia - Travel & Tourism, History & Culture","luxury of island travel, the importance of local news, and the appropriate travel information for tourists.",,,,,,,,,,,
fairmountgeorgia.org - 20,,fairmountgeorgia.org,20,fairmountgeorgia.org,fairmountgeorgia.org,Georgia (News)/News/Crime/Events/Weather/Entertainment/Sports,"Georgia - Travel & Tourism, History & Culture",,,,,,,,,,,,
firstcall-mn.org - 20,,firstcall-mn.org,20,firstcall-mn.org,firstcall-mn.org,Minnesota (News)/News/Crime/Events/Weather/Entertainment/Sports,"Minnesota - Travel & Tourism, History & Culture",,,,,,,,,,,,
italconschicago.org - 20,,italconschicago.org,20,italconschicago.org,italconschicago.org,Chicago (News)/News/Crime/Events/Weather/Entertainment/Sports,Chicago city - Travel & Tourism,,,,,,,,,,,,
kyenvironment.org - 20,,kyenvironment.org,20,kyenvironment.org,kyenvironment.org,Kentucky (News)/News/Crime/Events/Weather/Entertainment/Sports,"Kentucky - Travel & Tourism, History & Culture",,,,,,,,,,,,
lakecitytn.org - 20,,lakecitytn.org,20,lakecitytn.org,lakecitytn.org,Tennessee (News)/News/Crime/Events/Weather/Entertainment/Sports,"Tennessee - Travel & Tourism, History & Culture",,,,,,,,,,,,
lone-tree.org - 20,,lone-tree.org,20,lone-tree.org,lone-tree.org,Colorado (News)/News/Crime/Events/Weather/Entertainment/Sports,"Colorado - Travel & Tourism, History & Culture",,,,,,,,,,,,
outchicago.org - 20,,outchicago.org,20,outchicago.org,outchicago.org,Chicago (News)/News/Crime/Events/Weather/Entertainment/Sports,Chicago city - Travel & Tourism,,,,,,,,,,,,
pakistan-korea-trade.org - 20,,pakistan-korea-trade.org,20,pakistan-korea-trade.org,pakistan-korea-trade.org,Pakistan & Korea (News)/News/Crime/Events/Weather/International Affairs/War,"Pakistan & Korea - Travel & Tourism, History & Culture",,,,,,,,,,,,
seattlewto.org - 20,,seattlewto.org,20,seattlewto.org,seattlewto.org,Washington State (News)/News/Crime/Events/Weather/Entertainment/Sports,"Washington State - Travel & Tourism, History & Culture",,,,,,,,,,,,
southcharleston.org - 20,,southcharleston.org,20,southcharleston.org,southcharleston.org,South Carolina (News)/News/Crime/Events/Weather/Entertainment/Sports,"South Carolina Travel & Tourism, History & Culture",,,,,,,,,,,,
usa-cleanwater.org - 20,,usa-cleanwater.org,20,usa-cleanwater.org,usa-cleanwater.org,Florida (News)/News/Crime/Events/Weather/Entertainment/Sports,"Florida - Travel & Tourism, History & Culture",Gulf- Side of Florida,,,,,,,,,,,
bullterrier.org - 20,,bullterrier.org,20,bullterrier.org,bullterrier.org,Bull terriers & other dogs,"information on diets, specific breeds and mixes, common medical problems and diseases, life expectancy, and how much social interaction to provide for your dog",Pet/Feeding/Breeding/Species/Health Problems/General Care/History,,,,,,,,,,,
catswelfare.org - 20,,catswelfare.org,20,catswelfare.org,catswelfare.org,"Cat information, feral and domesticated","Cat shelters, protection agencies",Pet/Feeding/Breeding/Species/Health Problems/General Care,,,,,,,,,,,
independencedogs.org - 20,,independencedogs.org,20,independencedogs.org,independencedogs.org,Service Dogs,These animals provide a great benefit to humanity and to those who need and rely on their companionship.,Pet/Feeding/Breeding/Species/Health Problems/General Care/Benefits to hunamity,,,,,,,,,,,
keepingtrackinc.org - 20,,keepingtrackinc.org,20,keepingtrackinc.org,keepingtrackinc.org,Satisfy your desire to become smarter when it comes to handling and understanding animal species,"tracking animals in the wild, learn about proper feeding techniques, become up to date on breeding animals, get educated on health problems and general care of animals in the wild and animals as pets",Pet/Feeding/Breeding/Species/Health Problems/General Care/Diseases/Trackers,,,,,,,,,,,
gifightback.org - 20,,gifightback.org,20,gifightback.org,gifightback.org,"Enlisted people also did and do fight, for decent working and living conditions. Against religious discrimination and intolerance. Against racism. Against sexism and homophobia. To be treated like human beings.","In country, on ships, and back in the states, GIs published pamphlets and newspapers, passed petitions, took sanctuary in churches, applied for Conscientious Objector discharges and took other actions against the war.",Government/War/Support Groups/Aid/Military Benefits/Military Branches,,,,,,,,,,,
co-ophousingcoalition.org - 20,,co-ophousingcoalition.org,20,co-ophousingcoalition.org,co-ophousingcoalition.org," information on housing projects, volunteer opportunities, and well-known organizations that help those in need.",Recession recovery efforts,Real Estate/Low-income housing/Economy/Homeless/Shelters/The Projects,,,,,,,,,,,
nwplan.org - 20,,nwplan.org,20,nwplan.org,nwplan.org,"Planning your perfect home, building from scratch or renovating anew","utilizing space, home owners insurance, and what kind of restorations are DIY and what you should pay someone to do",Real Estate/Architecture/Model Homes/Decorating/Landscaping/Two-Story Homes/Lake Homes/Apartments,,,,,,,,,,,
homesforkatrina.org - 20,,homesforkatrina.org,20,homesforkatrina.org,homesforkatrina.org,"focuses on how to the homeless, the hungry, and poverty stricken can get back on their feet and a roof over their head","information on Habitat For Humanity, government aide, housing projects, and general aid for those in need",Real Estate/Charity/Habitat for Humanity/Volunteer Work/Emergency Aid/Donations,,,,,,,,,,,
dimensionzero.org - 20,,dimensionzero.org,20,dimensionzero.org,dimensionzero.org,"Sports equipment, training, medical care, strategy, and motivation and determination","benefits of physical activity, how it can help students get scholarships, the discipline that it takes to commit, and the hard work on and off the field that makes a the student in student-athlete succeed",Sports/Popular sports/Benefits for college/Equipment/Expenses/Club teams/School Teams,,,,,,,,,,,
doityourdamnself.org - 20,,doityourdamnself.org,20,doityourdamnself.org,doityourdamnself.org,die hard sports fans and competitive athletes,"training techniques, coaching strategies, on and off season training, equipment, and what qualifies as a sport",Sports/Strategy/Team sports/Individual sports/what make it a sport/equipment/training on/off season,,,,,,,,,,,
fuelmedia.org - 20,,fuelmedia.org,20,fuelmedia.org,fuelmedia.org,"how to properly stretch before playing, how to keep themselves hydrated and their energy level up","information on team sports, individual sports, how to train, what strategy to use, and the best brand of equipment",Sports/Nutrition/Hydration/Equipment/Attire,,,,,,,,,,,
getontop.org - 20,,getontop.org,20,getontop.org,getontop.org,"Tips, Advice, & Strategy for Champion Athletes", focuses on building champions and teaches you how to develop the dedication and make the motivation,Sports/Training/Strength/Champions/Dedication/Motivation/Scholarships,,,,,,,,,,,
len-aquatics.org - 20,,len-aquatics.org,20,len-aquatics.org,len-aquatics.org,"new fishing gear, a list of great canoeing and kayaking locations, this year’s swimming and diving competition schedules or anything else water-related",Any water/aqua sports,Sports/Water Sports/Surfing/Sailing/Wake board/skiing/Fishing/Diving/Canoe/Kayak/Swimming,,,,,,,,,,,
vienna04.org - 20,,vienna04.org,20,vienna04.org,vienna04.org,"championships, coaches advice and strategies, and how to train to be a professional"," latest rules of professional sports, team stats and standings, world known competitions",Sports/Pro sports/Tournaments/Events,,,,,,,,,,,
discovertexas.org - 20,,discovertexas.org,20,discovertexas.org,discovertexas.org,Texas (News)/News/Crime/Events/Weather/Entertainment/Sports,"Texas - Travel & Tourism, History & Culture","history of the state, the culture, food, shopping, and economic conditions",,,,,,,,,,,
