Task Name,Directions,Link,Link,Link,Link,Link
boutique hotels in the US Coronado,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-coronado-ca_loews-coronado-bay-resort-509bfdd266edc84661019718-reviews,hipmunk.com/Independent-Hotels-in-Coronado-CA_La-Avenida-Inn-509bfd3666edc84661011f86-Reviews,hipmunk.com/Independent-Hotels-in-Coronado-CA_Hotel-del-Coronado-509bfe2d66edc8466101d9c8-Reviews,hipmunk.com/Independent-Hotels-in-Coronado-CA_1906-Lodge-Coronado-Beach-509bfe6766edc846610204c3-Reviews,hipmunk.com/Independent-Hotels-in-Coronado-CA_Coronado-Beach-Resort-509bfd8c66edc84661016419-Reviews
boutique hotels in the US Daytona Beach,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_La-Quinta-Inn-Daytona-Beach-International-Speedway-509bff1366edc84661027f64-Reviews,hipmunk.com/independent-hotels-in-daytona-beach-fl_mayan-inn-daytona-beach-509c013066edc84661043703-reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_La-Quinta-Inn-Suites-Oceanfront-Daytona-Beach-509bfe1f66edc8466101ce9a-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Nautilus-Inn-509bfd1466edc846610103c4-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Ocean-Shore-Resort-509c01e666edc8466104c7b2-Reviews
boutique hotels in the US Daytona Beach,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Ocean-Walk-Vacation-Resort-509bfdce66edc84661019450-Reviews,hipmunk.com/independent-hotels-in-daytona-beach-fl_lexington-inn-suites-daytona-beach-50ed9481bb290e6e27000074-reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Boardwalk-Inn-and-Suites-509bfcb266edc8466100b89f-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Comfort-Inn-Suites-Oceanfront-509bfeb166edc84661023516-Reviews,hipmunk.com/independent-hotels-in-daytona-beach-fl_the-shores-resort-spa-509bfdc266edc84661018e67-reviews
boutique hotels in the US Daytona Beach,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Daytona-Beach-Resort-Conference-Center-51237deea0a99422e3000118-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Desert-Inn-Resort-Convention-Center-509bfef766edc84661026895-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Hilton-Daytona-Beach-Oceanfront-Resort-525714457f2c6c19c4000892-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_El-Caribe-Resort-Conference-Center-509bfed766edc846610250b9-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Lexington-Inn-Suites-Daytona-Beach-50ed9481bb290e6e27000074-Reviews
boutique hotels in the US Daytona Beach,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Plaza-Resort-Spa-509bfdbf66edc84661018c91-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_San-Marina-Motel-509bfed566edc84661024f7d-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Wyndham-Ocean-Walk-509bfdce66edc84661019450-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Acapulco-Hotel-Resort-509bfbe066edc84661000d7d-Reviews,hipmunk.com/Independent-Hotels-in-Daytona-Beach-FL_Bahama-House-51237e16a0a99422e300043e-Reviews
boutique hotels in the US El Paso,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-el-paso-tx_camino-real-hotel-el-paso-509bfbff66edc8466100281b-reviews,hipmunk.com/Independent-Hotels-in-El-Paso-TX_Chase-Suite-Hotel-El-Paso-509bfe1d66edc8466101ccdc-Reviews,hipmunk.com/Independent-Hotels-in-El-Paso-TX_GuestHouse-Suites-El-Paso-509bfef266edc846610263ce-Reviews,hipmunk.com/Independent-Hotels-in-El-Paso-TX_El-Paso-Suites-Hotel-510b5354a0a99462a800005e-Reviews,hipmunk.com/Independent-Hotels-in-El-Paso-TX_Country-Inn-Suites-by-Carlson-El-Paso-Sunland-Park-TX-52572c8e7f2c6c04df000565-Reviews
boutique hotels in the US Flagstaff,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Canyon-Inn-509bfbdb66edc84661000998-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Highland-Country-Inn-509bfc0466edc84661002cc1-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Wyndham-Flagstaff-5310aa0dc0852e2e420000a8-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Hotel-Aspen-InnSuites-FlagstaffGrand-Canyon-509c00f866edc846610408e5-Reviews,hipmunk.com/Independent-Hotels-in-Flagstaff-AZ_Budget-Inn-509bfcd166edc8466100ce16-Reviews
boutique hotels in the US Hilton Head Island,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/independent-hotels-in-hilton-head-island-sc_omni-hilton-head-oceanfront-resort-509c024a66edc846610517f5-reviews,hipmunk.com/Independent-Hotels-in-Hilton-Head-Island-SC_Disneys-Hilton-Head-Island-Resort-509bfcbd66edc8466100be00-Reviews,hipmunk.com/Independent-Hotels-in-Hilton-Head-Island-SC_Shipyard-Resort-by-Spinnaker-Resorts-50ed2df8bb290e2a0b000058-Reviews,hipmunk.com/Independent-Hotels-in-Hilton-Head-Island-SC_Sonesta-Resort-Hilton-Head-Island-525531f37f2c6c0f1e00015a-Reviews,hipmunk.com/Independent-Hotels-in-Hilton-Head-Island-SC_Hilton-Head-Metropolitan-Hotel-509bfd1466edc846610103c8-Reviews
boutique hotels in the US Hollywood,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/hotels-in-hollywood-ca/motel-6-los-angeles-hollywood-509bfd9966edc84661016e7f-reviews,hipmunk.com/hotels-in-hollywood-ca/w-hollywood-509c013b66edc846610440e3-reviews,hipmunk.com/independent-hotels-in-hollywood-ca_loews-hollywood-hotel-509c013a66edc84661044062-reviews,hipmunk.com/independent-hotels-in-hollywood-ca_magic-castle-hotel-509bfd2f66edc846610119d4-reviews,hipmunk.com/independent-hotels-in-hollywood-ca_the-redbury-hollywood-and-vine-509bfe7466edc84661020b0b-reviews
boutique hotels in the US Indianapolis,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Indianapolis-IN_Caribbean-Cove-Hotel-Water-Park-509bfcf666edc8466100ed6a-Reviews,hipmunk.com/Independent-Hotels-in-Indianapolis-IN_La-Quinta-Inn-Indianapolis-Airport-Executive-Drive-509bfed866edc84661025167-Reviews,hipmunk.com/Independent-Hotels-in-Indianapolis-IN_Omni-Severin-Hotel-509bfdc466edc8466101904e-Reviews,hipmunk.com/hotels-in-indianapolis-in/sheraton-indianapolis-hotel-at-keystone-crossing-509bfe9a66edc84661022849-reviews,hipmunk.com/Independent-Hotels-in-Indianapolis-IN_Sybaris-Pool-Suites-Indianapolis-53304d2ac0852e75fe00000c-Reviews
boutique hotels in the US Irving,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Irving-TX_Homeplace-Suites-53e23be9c0852e57280000f2-Reviews,hipmunk.com/Independent-Hotels-in-Irving-TX_DFW-Airport-Hotel-and-Conference-Center-509bfdd166edc846610195eb-Reviews,hipmunk.com/hotels-in-irving-tx/aloft-las-colinas-509bfe9c66edc846610229e0-reviews,hipmunk.com/hotels-in-irving-tx/the-westin-dallas-fort-worth-airport-509bfe8c66edc84661021d58-reviews,hipmunk.com/independent-hotels-in-irving-tx_nylo-dallas-las-colinas-509bfee866edc84661025df0-reviews
boutique hotels in the US Jamaica,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Jamaica-NY_Garden-Inn-Suites-509bfe2266edc8466101d12c-Reviews,hipmunk.com/hotels-in-jamaica-ny/sheraton-jfk-airport-hotel-510b139ca0a99444dd00000c-reviews,hipmunk.com/Independent-Hotels-in-Jamaica-NY_Lexington-Inn-JFK-Airport-509bfe9766edc8466102260a-Reviews,hipmunk.com/Independent-Hotels-in-Jamaica-NY_Jets-Motor-Inn-509bfcb466edc8466100ba7c-Reviews,hipmunk.com/Independent-Hotels-in-Jamaica-NY_Quality-Inn-Jamaica-AirTrain-509bfcd866edc8466100d3e2-Reviews
boutique hotels in the US Kansas City,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Kansas-City-MO_Adams-Mark-Hotel-Conference-Center-509bfdb266edc8466101846a-Reviews,hipmunk.com/Independent-Hotels-in-Kansas-City-MO_Hotel-Phillips-509bfc5266edc84661006afc-Reviews,hipmunk.com/hotels-in-kansas-city-mo/holiday-inn-country-club-plaza-509bfdd266edc8466101971b-reviews,hipmunk.com/Independent-Hotels-in-Kansas-City-MO_Hotel-Sorella-Country-Club-Plaza-525526e77f2c6c53460000ab-Reviews,hipmunk.com/independent-hotels-in-kansas-city-mo_hotel-phillips-509bfc5266edc84661006afc-reviews
boutique hotels in the US Kailua Kona,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Kailua-Kona-HI_Uncle-Billys-Kona-Bay-Hotel-509c01a866edc846610491fb-Reviews,hipmunk.com/Independent-Hotels-in-Kailua-Kona-HI_Wyndham-Royal-Sea-Cliff-528fd85ec0852e6a6d0000d3-Reviews,hipmunk.com/Independent-Hotels-in-Kailua-Kona-HI_Royal-Kona-Resort-509c01a866edc846610491e9-Reviews,hipmunk.com/independent-hotels-in-kailua-kona-hi_kona-seaside-hotel-509bfefd66edc84661026e01-reviews,hipmunk.com/Independent-Hotels-in-Kailua-Kona-HI_Kona-Hawaii-Guesthouse-5254c1517f2c6c4c550000f5-Reviews
boutique hotels in the US La Jolla,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-La-Jolla-CA_La-Jolla-Shores-Hotel-509bfe9466edc846610222cf-Reviews,hipmunk.com/Independent-Hotels-in-La-Jolla-CA_Empress-Hotel-of-La-Jolla-509bfcda66edc8466100d597-Reviews,hipmunk.com/Independent-Hotels-in-La-Jolla-CA_La-Jolla-Cove-Suites-509bff4a66edc8466102a32d-Reviews,hipmunk.com/Independent-Hotels-in-La-Jolla-CA_La-Valencia-Hotel-509bfefb66edc84661026b69-Reviews,hipmunk.com/Independent-Hotels-in-La-Jolla-CA_Pantai-Inn-5367dfc1c0852e3a4d0000c0-Reviews
boutique hotels in the US Louisville,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Louisville-KY_21c-Museum-Hotel-Louisville-509bfe9366edc8466102220a-Reviews,hipmunk.com/hotels-in-louisville-ky/hyatt-regency-louisville-509bfdfe66edc8466101b5dd-reviews,hipmunk.com/Independent-Hotels-in-Louisville-KY_Breckinridge-Inn-509bfe7266edc846610209f3-Reviews,hipmunk.com/Independent-Hotels-in-Louisville-KY_Holiday-Inn-Louisville-SwFair-Expo-Ctr-509bfdf466edc8466101af25-Reviews,hipmunk.com/Independent-Hotels-in-Louisville-KY_Red-Roof-Inn-Louisville-Expo-Airport-509bfe4c66edc8466101f161-Reviews
boutique hotels in the US Louisville,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles with the campaign + location to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each header in the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Louisville-KY_Americas-Best-Value-Inn-Louisville-509c01ac66edc84661049595-Reviews,hipmunk.com/Independent-Hotels-in-Louisville-KY_Fern-Valley-Hotel-Conference-Center-509bfec066edc84661023fb5-Reviews,hipmunk.com/hotels-in-louisville-ky/the-seelbach-hilton-louisville-509bfe2166edc8466101d06f-reviews,hipmunk.com/Independent-Hotels-in-Louisville-KY_Galt-House-Hotel-509bfd7466edc846610151a1-Reviews,hipmunk.com/Independent-Hotels-in-Louisville-KY_The-Brown-Hotel-509bff3366edc846610296b2-Reviews
