Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes,
,,,,,Boutique Desert Resorts in Tucson,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Tucson-AZ_Casino-Del-Sol-Resort-51224552a0a994611c00000c-Reviews,hipmunk.com/Independent-Hotels-in-Tucson-AZ_Lodge-on-the-Desert-509bfe6466edc84661020211-Reviews,hipmunk.com/Independent-Hotels-in-Tucson-AZ_Loews-Ventana-Canyon-Resort-509bfdc466edc84661019015-Reviews,hipmunk.com/Independent-Hotels-in-Tucson-AZ_Omni-Tucson-National-Resort-509bfdc266edc84661018eda-Reviews,n/a,,,sutera,0.15,n/a
,,,,,The Best Boutique Inns in Charleston,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Charleston-SC_The-Inn-At-Middleton-Place-510af25da0a994185100000a-Reviews,hipmunk.com/Independent-Hotels-in-Charleston-SC_Planters-Inn-509bff1566edc84661028061-Reviews,hipmunk.com/Independent-Hotels-in-Charleston-SC_The-Meeting-Street-Inn-509bff2b66edc8466102925b-Reviews,hipmunk.com/Independent-Hotels-in-Charleston-SC_Town-Country-Inn-and-Suites-509bfe0566edc8466101bbd2-Reviews,hipmunk.com/Independent-Hotels-in-Charleston-SC_Kings-Courtyard-Inn-509bfe4066edc8466101e8f8-Reviews,,,sutera,0.15,n/a
,,,,,Pittsburgh's Best Independent Stays,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Pittsburgh-PA_Hyatt-Regency-Pittsburgh-International-Airport-509bff0366edc846610272e2-Reviews,hipmunk.com/Independent-Hotels-in-Pittsburgh-PA_Omni-William-Penn-Hotel-509bfdc266edc84661018e5b-Reviews,hipmunk.com/Independent-Hotels-in-Pittsburgh-PA_Shadyside-Inn-All-Suites-Hotel-509bfe6066edc8466101fff6-Reviews,hipmunk.com/Independent-Hotels-in-Pittsburgh-PA_Sunnyledge-Boutique-Hotel-and-Tea-Room-509bfe9366edc846610221d4-Reviews,hipmunk.com/Independent-Hotels-in-Pittsburgh-PA_The-Priory-Hotel-509bfe8b66edc84661021c1c-Reviews,,,hedinger,0.15,n/a
,,,,,The Top Casino Hotels in Reno,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Reno-NV_Grand-Sierra-Resort-Casino-Featuring-The-Summit-Tower-509c024566edc8466105144e-Reviews,hipmunk.com/Independent-Hotels-in-Reno-NV_Harrahs-Casino-Hotel-Reno-509c024566edc84661051448-Reviews,hipmunk.com/Independent-Hotels-in-Reno-NV_Sands-Regency-Casino-Hotel-509c024566edc8466105144c-Reviews,hipmunk.com/Independent-Hotels-in-Reno-NV_Silver-Legacy-Resort-Casino-509bfdcf66edc846610194dd-Reviews,hipmunk.com/Independent-Hotels-in-Reno-NV_Circus-Circus-Hotel-Casino-Reno-509bfdc566edc8466101918f-Reviews,,,hedinger,0.15,n/a
,,,,,Salt Lake City's Best Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Salt-Lake-City-UT_The-Anniversary-Inn-Fifth-South-509bfef766edc8466102682c-Reviews,hipmunk.com/Independent-Hotels-in-Salt-Lake-City-UT_The-Grand-America-Hotel-509bfee766edc84661025dc6-Reviews,hipmunk.com/Independent-Hotels-in-Salt-Lake-City-UT_The-Metropolitan-Inn-509bfcda66edc8466100d52e-Reviews,hipmunk.com/Independent-Hotels-in-Salt-Lake-City-UT_Little-America-Hotel-509bfdd366edc8466101974b-Reviews,hipmunk.com/Independent-Hotels-in-Salt-Lake-City-UT_North-Temple-Inn-509bfc9d66edc8466100a6f8-Reviews,,,bering,0.2,n/a
,,,,,Where to Stay in Sunny Santa Cruz,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Santa-Cruz-CA_Pacific-Inn-Santa-Cruz-509bfbee66edc84661001a9e-Reviews,hipmunk.com/Independent-Hotels-in-Santa-Cruz-CA_Ocean-Pacific-Lodge-509bfee866edc84661025e4e-Reviews,hipmunk.com/Independent-Hotels-in-Santa-Cruz-CA_Dream-Inn-Santa-Cruz-a-Joie-de-Vivre-Boutique-Hotel-509c023f66edc84661050f71-Reviews,hipmunk.com/Independent-Hotels-in-Santa-Cruz-CA_Hotel-Paradox-509bfef366edc84661026479-Reviews,hipmunk.com/Independent-Hotels-in-Santa-Cruz-CA_Casablanca-On-The-Beach-509bffc866edc846610304a0-Reviews,,,bering,0.2,n/a
,,,,,Where to Stay in Brooklyn,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Brooklyn-NY_Hotel-BPM-Brooklyn-New-York-509bffa566edc8466102eb51-Reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_Hotel-Le-Bleu-509bfe3c66edc8466101e51e-Reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_Kings-Hotel-509bfd8666edc84661015f3a-Reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_NU-Hotel-Brooklyn-509bfdce66edc846610193b1-Reviews,hipmunk.com/Independent-Hotels-in-Brooklyn-NY_NY-Moore-Hostel-509bff9b66edc8466102e25d-Reviews,,,reusen,0.08,n/a
,,,,,Beautiful Boutique Stays in Carmel,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Carmel-CA_La-Playa-Carmel-509bfd3a66edc846610123a0-Reviews,hipmunk.com/Independent-Hotels-in-Carmel-CA_Carmel-Village-Inn-509bfdcf66edc846610194ab-Reviews,hipmunk.com/Independent-Hotels-in-Carmel-CA_Carmel-Valley-Ranch-50edd8b6bb290e795c0000d0-Reviews,hipmunk.com/Independent-Hotels-in-Carmel-CA_Carmel-Mission-Inn-509bfdc566edc84661019199-Reviews,hipmunk.com/Independent-Hotels-in-Carmel-CA_Carmel-Wayfarer-Inn-509bfe5666edc8466101f7b5-Reviews,,,reusen,0.08,n/a
,,,,,Phoenix's Best Boutique Stays,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Phoenix-AZ_The-Ritz-Carlton-Phoenix-509bfdbf66edc84661018c7b-Reviews,hipmunk.com/Independent-Hotels-in-Phoenix-AZ_Arizona-Grand-Resort-509bfdd266edc846610196ba-Reviews,hipmunk.com/Independent-Hotels-in-Phoenix-AZ_Inn-Phoenix-509c01b366edc84661049c1f-Reviews,hipmunk.com/Independent-Hotels-in-Phoenix-AZ_Royal-Palms-Resort-and-Spa-Destination-Hotels-Resorts-509bff4966edc8466102a2e7-Reviews,hipmunk.com/Independent-Hotels-in-Phoenix-AZ_The-Clarendon-Hotel-and-Spa-51224560a0a994611c000078-Reviews,,,pokora,0.15,n/a
,,,,,Where to Stay in Beautiful Pismo Beach,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Pismo-Beach-CA_The-Cliffs-509bfef066edc846610261ed-Reviews,hipmunk.com/Independent-Hotels-in-Pismo-Beach-CA_Spyglass-Inn-509bfe8566edc84661021713-Reviews,hipmunk.com/Independent-Hotels-in-Pismo-Beach-CA_SeaCrest-OceanFront-Hotel-509bfdc466edc84661019079-Reviews,hipmunk.com/Independent-Hotels-in-Pismo-Beach-CA_Pismo-Lighthouse-Suites-509bfea266edc84661022bfd-Reviews,hipmunk.com/Independent-Hotels-in-Pismo-Beach-CA_Oxford-Suites-Pismo-Beach-509bfd0e66edc8466100fef0-Reviews,,,pokora,0.15,n/a
,,,,,Great Boutique Hotels in Cambridge,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Cambridge-MA_Irving-House-At-Harvard-509bfd9e66edc84661017353-Reviews,hipmunk.com/independent-hotels-in-cambridge-ma_the-charles-hotel-509bfdd166edc8466101962d-reviews,hipmunk.com/independent-hotels-in-cambridge-ma_royal-sonesta-boston-509bfdd366edc84661019757-reviews,hipmunk.com/independent-hotels-in-cambridge-ma_hotel-veritas-509bfe4f66edc8466101f416-reviews,hipmunk.com/independent-hotels-in-cambridge-ma_harvard-square-hotel-509bfd8b66edc84661016349-reviews,,,mcgrain,0.12,n/a
,,,,,The Best Independent Hotels in South Padre Island,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-South-Padre-Island-TX_Padre-South-Hotel-On-The-Beach-509bfe0f66edc8466101c272-Reviews,hipmunk.com/Independent-Hotels-in-South-Padre-Island-TX_Pearl-South-Padre-509c01e066edc8466104c1e0-Reviews,hipmunk.com/Independent-Hotels-in-South-Padre-Island-TX_Schlitterbahn-Beach-Resort-and-Waterpark-50ed9b86bb290e7aa40000e8-Reviews,hipmunk.com/Independent-Hotels-in-South-Padre-Island-TX_Wanna-Wanna-Inn-509bff1f66edc8466102882e-Reviews,hipmunk.com/Independent-Hotels-in-South-Padre-Island-TX_WindWater-Hotel-50ed9b81bb290e7aa400003e-Reviews,,,mcgrain,0.12,n/a
,,,,,Where to Stay in St Pete Beach,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-St-Pete-Beach-FL_Loews-Don-CeSar-Hotel-509bfbdb66edc8466100095d-Reviews,hipmunk.com/Independent-Hotels-in-St-Pete-Beach-FL_Grand-Plaza-Beachfront-Resort-Hotel-509bfd3166edc84661011bba-Reviews,hipmunk.com/Independent-Hotels-in-St-Pete-Beach-FL_Beachcomber-Beach-Resort-509c01e666edc8466104c7a0-Reviews,hipmunk.com/Independent-Hotels-in-St-Pete-Beach-FL_Sirata-Beach-Resort-50ed9492bb290e6e270001c8-Reviews,hipmunk.com/Independent-Hotels-in-St-Pete-Beach-FL_Dolphin-Beach-Resort-509bfdc566edc84661019138-Reviews,,,brewer,0.2,n/a
,,,,,Ocean City's Best Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Ocean-City-MD_Plim-Plaza-5254f29d7f2c6c127e00008c-Reviews,hipmunk.com/Independent-Hotels-in-Ocean-City-MD_Princess-Royale-Hotel-Conference-Center-5254f2617f2c6c127e000050-Reviews,hipmunk.com/Independent-Hotels-in-Ocean-City-MD_Coastal-Palms-Inn-Suites-50ed1aecbb290e028a000002-Reviews,hipmunk.com/Independent-Hotels-in-Ocean-City-MD_Flagship-Oceanfront-Hotel-509bffce66edc846610309aa-Reviews,hipmunk.com/Independent-Hotels-in-Ocean-City-MD_Flamingo-Motel-509bfd1666edc8466101061c-Reviews,,,brewer,0.2,n/a
,,,,,Newport Coast's Top Boutique Hotels,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-Newport-Beach-CA_Balboa-Bay-Resort-509bfec466edc84661024272-Reviews,hipmunk.com/Independent-Hotels-in-Newport-Beach-CA_Bay-Shores-Peninsula-Hotel-509bfe0066edc8466101b7ae-Reviews,hipmunk.com/Independent-Hotels-in-Newport-Beach-CA_Newport-Beach-Hotel-A-Four-Sisters-Inn-509bfcaf66edc8466100b6b8-Reviews,hipmunk.com/Independent-Hotels-in-Newport-Coast-CA_The-Resort-at-Pelican-Hill-509bff2b66edc846610291e8-Reviews,hipmunk.com/Independent-Hotels-in-Newport-Coast-CA_The-Villas-at-Pelican-Hill-Resort-509c013b66edc8466104408e-Reviews,,,popescu,0.15,n/a
,,,,,Where to Stay in NYC,"These are your Boutique Hotels assignments. In the optional fields you'll find your 5 hotel links, which are either in a single city or state, depending on how many hotels we have available for a given location. Feel free to Google the hotels for more information! I've given these generic titles to get you started: PLEASE vary your language so not every article has ""5 Hotels"" in the name, and also avoid using the exact name of the hotel for each section of the article. Read through the style guide and let me know if there are any concerns. Thanks everyone!",hipmunk.com/Independent-Hotels-in-New-York-City-NY_Tribeca-Grand-Hotel-509bfc9e66edc8466100a769-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_Lotte-New-York-Palace-50ed51b2bb290e6d910000d6-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_Sanctuary-Hotel-New-York-5122d1a6a0a9945222000220-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_70-Park-Avenue-Hotel-a-Kimpton-Hotel-509bfe9366edc846610221e8-Reviews,hipmunk.com/Independent-Hotels-in-New-York-City-NY_World-Center-Hotel-509c01cb66edc8466104b13a-Reviews,,,popescu,0.15,n/a
