Campaign Name,Directions,Link
EatSleepBreathTravel Hotels Syndication,"This task is for the Hipmunk Hotels Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on 'original blog name' on 'Date'."" You must also link the blog name to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1 Please let me know if you have any questions. Thank you!",http://www.eatsleepbreathetravel.com/hipmunk-hotels-pacific-wailea-maui-sonoma/
MappingMegan Hotels Syndication,"This task is for the Hipmunk Hotels Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on 'original blog name' on 'Date'."" You must also link the blog name to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1 Please let me know if you have any questions. Thank you!",http://www.mappingmegan.com/adventures-alabama-arkansas-gulf-shores-mobile-huntsville/
ANewLifeWandering Hotels Syndication,"This task is for the Hipmunk Hotels Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on 'original blog name' on 'Date'."" You must also link the blog name to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1 Please let me know if you have any questions. Thank you!",https://anewlifewandering.com/2016/04/11/hipmunk-hotels-north-carolina-durham-charlotte-wilmington-asheville-chapel-hill/
TheRestlessWorker Hotels Syndication,"This task is for the Hipmunk Hotels Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on 'original blog name' on 'Date'."" You must also link the blog name to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1 Please let me know if you have any questions. Thank you!",http://www.therestlessworker.com/hipmunk-hotels-alternative-california-roadtrip-fairfield-chula-vista/
ThisLifeinTrips Hotels Syndication,"This task is for the Hipmunk Hotels Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on 'original blog name' on 'Date'."" You must also link the blog name to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1 Please let me know if you have any questions. Thank you!",http://www.thislifeintrips.com/affordable-options-in-the-less-traveled-south/
SouthernFriedTravel Hotels Syndication,"This task is for the Hipmunk Hotels Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on 'original blog name' on 'Date'."" You must also link the blog name to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1 Please let me know if you have any questions. Thank you!",http://southernfriedtravel.com/2016/04/12/hipmunk-hotels-5-hotels-in-foodie-towns-of-the-south-from-lafayette-to-new-braunfels-and-more/
Travel-Tidbits Hotels Syndication,"This task is for the Hipmunk Hotels Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on 'original blog name' on 'Date'."" You must also link the blog name to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1 Please let me know if you have any questions. Thank you!",http://www.travel-tidbits.com/destinations/hipmunk-hotels-how-to-spend-your-time-in-bar-harbor-syracuse-and-other-northeastern-cities/
NonStopDestination Hotels Syndication,"This task is for the Hipmunk Hotels Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on 'original blog name' on 'Date'."" You must also link the blog name to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1 Please let me know if you have any questions. Thank you!",http://www.nonstopdestination.com/hipmunk-hotels-cozy-unique-places-west-flagstaff-beverly-hills/
WaysofWanderers Hotels Syndication,"This task is for the Hipmunk Hotels Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on 'original blog name' on 'Date'."" You must also link the blog name to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1 Please let me know if you have any questions. Thank you!",http://waysofwanderers.com/great-bed-breakfasts-missoula-rapid-city/
MadeAllTheDifference Hotels Syndication,"This task is for the Hipmunk Hotels Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on 'original blog name' on 'Date'."" You must also link the blog name to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1 Please let me know if you have any questions. Thank you!",http://made-all-the-difference.com/2016/03/hipmunk-hotels-beach-adventure/
Go4TravelBlog Hotels Syndication,"This task is for the Hipmunk Hotels Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on 'original blog name' on 'Date'."" You must also link the blog name to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1 Please let me know if you have any questions. Thank you!",http://www.go4travelblog.com/hipmunk-hotels-best-california-destinations-along-pacific-ocean/
EatSleepBreathTravel Hotels Syndication,"This task is for the Hipmunk Hotels Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on 'original blog name' on 'Date'."" You must also link the blog name to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1 Please let me know if you have any questions. Thank you!",http://www.eatsleepbreathetravel.com/hipmunk-hotels-pacific-wailea-maui-sonoma/
TheRestlessWorker Hotels Syndication,"This task is for the Hipmunk Hotels Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on 'original blog name' on 'Date'."" You must also link the blog name to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1 Please let me know if you have any questions. Thank you!",http://www.therestlessworker.com/hipmunk-hotels-alternative-california-roadtrip-fairfield-chula-vista/
NonStopDestination Hotels Syndication,"This task is for the Hipmunk Hotels Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on 'original blog name' on 'Date'."" You must also link the blog name to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1 Please let me know if you have any questions. Thank you!",http://www.nonstopdestination.com/hipmunk-hotels-cozy-unique-places-west-flagstaff-beverly-hills/
MadeAllTheDifference Hotels Syndication,"This task is for the Hipmunk Hotels Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on 'original blog name' on 'Date'."" You must also link the blog name to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1 Please let me know if you have any questions. Thank you!",http://made-all-the-difference.com/2016/03/hipmunk-hotels-beach-adventure/
MadeAllTheDifference Hotels Syndication,"This task is for the Hipmunk Hotels Blog Syndication. Please go to the link below and copy and paste the content into the article box. At the beginning of the article, please post a byline stating something like ""The post below was originally published on 'original blog name' on 'Date'."" You must also link the blog name to the original blog post link. After the post is editor approved, then you can publish the post on your site. Please then submit your published links through this form: https://docs.google.com/a/steelcast.com/forms/d/14tAJkQ7unjCEq9d-Sr_21a0pg3iIFkU7Xd7sL7KpQD8/viewform?c=0&w=1 Please let me know if you have any questions. Thank you!",http://made-all-the-difference.com/2016/03/hipmunk-hotels-beach-adventure/
